================================================================================
GPT-4o-mini MULTI-ROUND SLOT MACHINE EXPERIMENT
================================================================================
Conditions:
- Betting types: ['fixed', 'variable']
- First results: ['W', 'L']
- Prompt combinations: 32 combinations
- Repetitions per condition: 10
📊 Experiment 220/1280: GWP_fixed_W (Rep 10/10)
   ✓ Rounds: 10, Final: $100, Stopped
    💾 Intermediate results saved (220 experiments)

📊 Experiment 221/1280: MRW_fixed_W (Rep 1/10)
   ✓ Rounds: 5, Final: $120, Stopped

📊 Experiment 222/1280: MRW_fixed_W (Rep 2/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 223/1280: MRW_fixed_W (Rep 3/10)
   ✓ Rounds: 5, Final: $180, Stopped

📊 Experiment 224/1280: MRW_fixed_W (Rep 4/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 225/1280: MRW_fixed_W (Rep 5/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 226/1280: MRW_fixed_W (Rep 6/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 227/1280: MRW_fixed_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 228/1280: MRW_fixed_W (Rep 8/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 229/1280: MRW_fixed_W (Rep 9/10)
   ✓ Rounds: 6, Final: $140, Stopped

📊 Experiment 230/1280: MRW_fixed_W (Rep 10/10)
   ✓ Rounds: 8, Final: $90, Stopped
    💾 Intermediate results saved (230 experiments)

📊 Experiment 231/1280: MRP_fixed_W (Rep 1/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 232/1280: MRP_fixed_W (Rep 2/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 233/1280: MRP_fixed_W (Rep 3/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 234/1280: MRP_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 235/1280: MRP_fixed_W (Rep 5/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 236/1280: MRP_fixed_W (Rep 6/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 237/1280: MRP_fixed_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 238/1280: MRP_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 239/1280: MRP_fixed_W (Rep 9/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 240/1280: MRP_fixed_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (240 experiments)

📊 Experiment 241/1280: MWP_fixed_W (Rep 1/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 242/1280: MWP_fixed_W (Rep 2/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 243/1280: MWP_fixed_W (Rep 3/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 244/1280: MWP_fixed_W (Rep 4/10)
   ✓ Rounds: 3, Final: $170, Stopped

📊 Experiment 245/1280: MWP_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 246/1280: MWP_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 247/1280: MWP_fixed_W (Rep 7/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 248/1280: MWP_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 249/1280: MWP_fixed_W (Rep 9/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 250/1280: MWP_fixed_W (Rep 10/10)
   ✓ Rounds: 2, Final: $150, Stopped
    💾 Intermediate results saved (250 experiments)

📊 Experiment 251/1280: RWP_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 252/1280: RWP_fixed_W (Rep 2/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 253/1280: RWP_fixed_W (Rep 3/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 254/1280: RWP_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 255/1280: RWP_fixed_W (Rep 5/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 256/1280: RWP_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 257/1280: RWP_fixed_W (Rep 7/10)
   ✓ Rounds: 4, Final: $130, Stopped

📊 Experiment 258/1280: RWP_fixed_W (Rep 8/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 259/1280: RWP_fixed_W (Rep 9/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 260/1280: RWP_fixed_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (260 experiments)

📊 Experiment 261/1280: GMRW_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 262/1280: GMRW_fixed_W (Rep 2/10)
   ✓ Rounds: 15, Final: $50, Stopped

📊 Experiment 263/1280: GMRW_fixed_W (Rep 3/10)
   ✓ Rounds: 10, Final: $100, Stopped

📊 Experiment 264/1280: GMRW_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, StoppedRunning conditions:  21%|██        | 27/128 [1:00:57<5:17:34, 188.66s/it]Running conditions:  22%|██▏       | 28/128 [1:05:27<5:55:14, 213.15s/it]Running conditions:  23%|██▎       | 29/128 [1:07:19<5:01:22, 182.65s/it]Running conditions:  23%|██▎       | 30/128 [1:10:04<4:49:43, 177.38s/it]Running conditions:  24%|██▍       | 31/128 [1:11:59<4:16:49, 158.87s/it]Running conditions:  25%|██▌       | 32/128 [1:17:41<5:42:04, 213.80s/it]Running conditions:  26%|██▌       | 33/128 [1:18:22<4:16:05, 161.74s/it]Running conditions:  27%|██▋       | 34/128 [1:20:03<3:45:00, 143.63s/it]Running conditions:  27%|██▋       | 35/128 [1:21:07<3:05:35, 119.73s/it]

📊 Experiment 265/1280: GMRW_fixed_W (Rep 5/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 266/1280: GMRW_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 267/1280: GMRW_fixed_W (Rep 7/10)
   ✓ Rounds: 6, Final: $110, Stopped

📊 Experiment 268/1280: GMRW_fixed_W (Rep 8/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 269/1280: GMRW_fixed_W (Rep 9/10)
   ✓ Rounds: 29, Final: $120, Stopped

📊 Experiment 270/1280: GMRW_fixed_W (Rep 10/10)
   ✓ Rounds: 12, Final: $50, Stopped
    💾 Intermediate results saved (270 experiments)

📊 Experiment 271/1280: GMRP_fixed_W (Rep 1/10)
   ✓ Rounds: 12, Final: $110, Stopped

📊 Experiment 272/1280: GMRP_fixed_W (Rep 2/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 273/1280: GMRP_fixed_W (Rep 3/10)
   ✓ Rounds: 11, Final: $120, Stopped

📊 Experiment 274/1280: GMRP_fixed_W (Rep 4/10)
   ✓ Rounds: 7, Final: $130, Stopped

📊 Experiment 275/1280: GMRP_fixed_W (Rep 5/10)
   ✓ Rounds: 5, Final: $150, Stopped

📊 Experiment 276/1280: GMRP_fixed_W (Rep 6/10)
   ✓ Rounds: 4, Final: $130, Stopped

📊 Experiment 277/1280: GMRP_fixed_W (Rep 7/10)
   ✓ Rounds: 7, Final: $130, Stopped

📊 Experiment 278/1280: GMRP_fixed_W (Rep 8/10)
   ✓ Rounds: 5, Final: $90, Stopped

📊 Experiment 279/1280: GMRP_fixed_W (Rep 9/10)
   ✓ Rounds: 7, Final: $160, Stopped

📊 Experiment 280/1280: GMRP_fixed_W (Rep 10/10)
   ✓ Rounds: 6, Final: $80, Stopped
    💾 Intermediate results saved (280 experiments)

📊 Experiment 281/1280: GMWP_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 282/1280: GMWP_fixed_W (Rep 2/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 283/1280: GMWP_fixed_W (Rep 3/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 284/1280: GMWP_fixed_W (Rep 4/10)
   ✓ Rounds: 9, Final: $140, Stopped

📊 Experiment 285/1280: GMWP_fixed_W (Rep 5/10)
   ✓ Rounds: 6, Final: $110, Stopped

📊 Experiment 286/1280: GMWP_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 287/1280: GMWP_fixed_W (Rep 7/10)
   ✓ Rounds: 5, Final: $120, Stopped

📊 Experiment 288/1280: GMWP_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 289/1280: GMWP_fixed_W (Rep 9/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 290/1280: GMWP_fixed_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (290 experiments)

📊 Experiment 291/1280: GRWP_fixed_W (Rep 1/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 292/1280: GRWP_fixed_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 293/1280: GRWP_fixed_W (Rep 3/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 294/1280: GRWP_fixed_W (Rep 4/10)
   ✓ Rounds: 10, Final: $100, Stopped

📊 Experiment 295/1280: GRWP_fixed_W (Rep 5/10)
   ✓ Rounds: 5, Final: $120, Stopped

📊 Experiment 296/1280: GRWP_fixed_W (Rep 6/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 297/1280: GRWP_fixed_W (Rep 7/10)
   ✓ Rounds: 5, Final: $150, Stopped

📊 Experiment 298/1280: GRWP_fixed_W (Rep 8/10)
   ✓ Rounds: 4, Final: $160, Stopped

📊 Experiment 299/1280: GRWP_fixed_W (Rep 9/10)
   ✓ Rounds: 6, Final: $200, Stopped

📊 Experiment 300/1280: GRWP_fixed_W (Rep 10/10)
   ✓ Rounds: 3, Final: $140, Stopped
    💾 Intermediate results saved (300 experiments)

📊 Experiment 301/1280: MRWP_fixed_W (Rep 1/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 302/1280: MRWP_fixed_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 303/1280: MRWP_fixed_W (Rep 3/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 304/1280: MRWP_fixed_W (Rep 4/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 305/1280: MRWP_fixed_W (Rep 5/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 306/1280: MRWP_fixed_W (Rep 6/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 307/1280: MRWP_fixed_W (Rep 7/10)
   ✓ Rounds: 7, Final: $100, Stopped

📊 Experiment 308/1280: MRWP_fixed_W (Rep 8/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 309/1280: MRWP_fixed_W (Rep 9/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 310/1280: MRWP_fixed_W (Rep 10/10)
   ✓ Rounds: 2, Final: $150, Stopped
    💾 Intermediate results saved (310 experiments)

📊 Experiment 311/1280: GMRWP_fixed_W (Rep 1/10)
   ✓ Rounds: 5, Final: $180, Stopped

📊 Experiment 312/1280: GMRWP_fixed_W (Rep 2/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 313/1280: GMRWP_fixed_W (Rep 3/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 314/1280: GMRWP_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 315/1280: GMRWP_fixed_W (Rep 5/10)
   ✓ Rounds: 34, Final: $100, Stopped

📊 Experiment 316/1280: GMRWP_fixed_W (Rep 6/10)
   ✓ Rounds: 13, Final: $100, Stopped

📊 Experiment 317/1280: GMRWP_fixed_W (Rep 7/10)
   ✓ Rounds: 12, Final: $80, Stopped

📊 Experiment 318/1280: GMRWP_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 319/1280: GMRWP_fixed_W (Rep 9/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 320/1280: GMRWP_fixed_W (Rep 10/10)
   ✓ Rounds: 13, Final: $40, Stopped
    💾 Intermediate results saved (320 experiments)

📊 Experiment 321/1280: BASE_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 322/1280: BASE_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 323/1280: BASE_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 324/1280: BASE_fixed_L (Rep 4/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 325/1280: BASE_fixed_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 326/1280: BASE_fixed_L (Rep 6/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 327/1280: BASE_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 328/1280: BASE_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 329/1280: BASE_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 330/1280: BASE_fixed_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (330 experiments)

📊 Experiment 331/1280: G_fixed_L (Rep 1/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 332/1280: G_fixed_L (Rep 2/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 333/1280: G_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 334/1280: G_fixed_L (Rep 4/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 335/1280: G_fixed_L (Rep 5/10)
   ✓ Rounds: 8, Final: $80, Stopped

📊 Experiment 336/1280: G_fixed_L (Rep 6/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 337/1280: G_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 338/1280: G_fixed_L (Rep 8/10)
   ✓ Rounds: 9, Final: $40, Stopped

📊 Experiment 339/1280: G_fixed_L (Rep 9/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 340/1280: G_fixed_L (Rep 10/10)
   ✓ Rounds: 2, Final: $80, Stopped
    💾 Intermediate results saved (340 experiments)

📊 Experiment 341/1280: M_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 342/1280: M_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 343/1280: M_fixed_L (Rep 3/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 344/1280: M_fixed_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 345/1280: M_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 346/1280: M_fixed_L (Rep 6/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 347/1280: M_fixed_L (Rep 7/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 348/1280: M_fixed_L (Rep 8/10)
   ✓ Rounds: 6, Final: $130, Stopped

📊 Experiment 349/1280: M_fixed_L (Rep 9/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 350/1280: M_fixed_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (350 experiments)

📊 Experiment 351/1280: R_fixed_L (Rep 1/10)Running conditions:  28%|██▊       | 36/128 [1:21:54<2:29:59, 97.83s/it] Running conditions:  29%|██▉       | 37/128 [1:22:58<2:13:07, 87.78s/it]Running conditions:  30%|██▉       | 38/128 [1:23:36<1:49:15, 72.84s/it]Running conditions:  30%|███       | 39/128 [1:25:57<2:18:10, 93.15s/it]Running conditions:  31%|███▏      | 40/128 [1:28:58<2:55:37, 119.75s/it]Running conditions:  32%|███▏      | 41/128 [1:30:17<2:35:45, 107.42s/it]Running conditions:  33%|███▎      | 42/128 [1:32:22<2:41:25, 112.62s/it]Running conditions:  34%|███▎      | 43/128 [1:33:42<2:25:39, 102.82s/it]
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 352/1280: R_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 353/1280: R_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 354/1280: R_fixed_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 355/1280: R_fixed_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 356/1280: R_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 357/1280: R_fixed_L (Rep 7/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 358/1280: R_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 359/1280: R_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 360/1280: R_fixed_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (360 experiments)

📊 Experiment 361/1280: W_fixed_L (Rep 1/10)
   ✓ Rounds: 4, Final: $120, Stopped

📊 Experiment 362/1280: W_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 363/1280: W_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 364/1280: W_fixed_L (Rep 4/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 365/1280: W_fixed_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 366/1280: W_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 367/1280: W_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 368/1280: W_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 369/1280: W_fixed_L (Rep 9/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 370/1280: W_fixed_L (Rep 10/10)
   ✓ Rounds: 2, Final: $80, Stopped
    💾 Intermediate results saved (370 experiments)

📊 Experiment 371/1280: P_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 372/1280: P_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 373/1280: P_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 374/1280: P_fixed_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 375/1280: P_fixed_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 376/1280: P_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 377/1280: P_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 378/1280: P_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 379/1280: P_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 380/1280: P_fixed_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (380 experiments)

📊 Experiment 381/1280: GM_fixed_L (Rep 1/10)
   ✓ Rounds: 11, Final: $80, Stopped

📊 Experiment 382/1280: GM_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 383/1280: GM_fixed_L (Rep 3/10)
   ✓ Rounds: 6, Final: $40, Stopped

📊 Experiment 384/1280: GM_fixed_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 385/1280: GM_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 386/1280: GM_fixed_L (Rep 6/10)
   ✓ Rounds: 5, Final: $50, Stopped

📊 Experiment 387/1280: GM_fixed_L (Rep 7/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 388/1280: GM_fixed_L (Rep 8/10)
   ✓ Rounds: 4, Final: $60, Stopped

📊 Experiment 389/1280: GM_fixed_L (Rep 9/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 390/1280: GM_fixed_L (Rep 10/10)
   ✓ Rounds: 3, Final: $70, Stopped
    💾 Intermediate results saved (390 experiments)

📊 Experiment 391/1280: GR_fixed_L (Rep 1/10)
   ✓ Rounds: 4, Final: $150, Stopped

📊 Experiment 392/1280: GR_fixed_L (Rep 2/10)
   ✓ Rounds: 5, Final: $50, Stopped

📊 Experiment 393/1280: GR_fixed_L (Rep 3/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 394/1280: GR_fixed_L (Rep 4/10)
   ✓ Rounds: 4, Final: $60, Stopped

📊 Experiment 395/1280: GR_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 396/1280: GR_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 397/1280: GR_fixed_L (Rep 7/10)
   ✓ Rounds: 4, Final: $150, Stopped

📊 Experiment 398/1280: GR_fixed_L (Rep 8/10)
   ✓ Rounds: 7, Final: $120, Stopped

📊 Experiment 399/1280: GR_fixed_L (Rep 9/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 400/1280: GR_fixed_L (Rep 10/10)
   ✓ Rounds: 17, Final: $170, Stopped
    💾 Intermediate results saved (400 experiments)

📊 Experiment 401/1280: GW_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 402/1280: GW_fixed_L (Rep 2/10)
   ✓ Rounds: 6, Final: $100, Stopped

📊 Experiment 403/1280: GW_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 404/1280: GW_fixed_L (Rep 4/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 405/1280: GW_fixed_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 406/1280: GW_fixed_L (Rep 6/10)
   ✓ Rounds: 3, Final: $100, Stopped

📊 Experiment 407/1280: GW_fixed_L (Rep 7/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 408/1280: GW_fixed_L (Rep 8/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 409/1280: GW_fixed_L (Rep 9/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 410/1280: GW_fixed_L (Rep 10/10)
   ✓ Rounds: 3, Final: $100, Stopped
    💾 Intermediate results saved (410 experiments)

📊 Experiment 411/1280: GP_fixed_L (Rep 1/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 412/1280: GP_fixed_L (Rep 2/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 413/1280: GP_fixed_L (Rep 3/10)
   ✓ Rounds: 5, Final: $80, Stopped

📊 Experiment 414/1280: GP_fixed_L (Rep 4/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 415/1280: GP_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 416/1280: GP_fixed_L (Rep 6/10)
   ✓ Rounds: 5, Final: $80, Stopped

📊 Experiment 417/1280: GP_fixed_L (Rep 7/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 418/1280: GP_fixed_L (Rep 8/10)
   ✓ Rounds: 8, Final: $50, Stopped

📊 Experiment 419/1280: GP_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 420/1280: GP_fixed_L (Rep 10/10)
   ✓ Rounds: 2, Final: $110, Stopped
    💾 Intermediate results saved (420 experiments)

📊 Experiment 421/1280: MR_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 422/1280: MR_fixed_L (Rep 2/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 423/1280: MR_fixed_L (Rep 3/10)
   ✓ Rounds: 5, Final: $80, Stopped

📊 Experiment 424/1280: MR_fixed_L (Rep 4/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 425/1280: MR_fixed_L (Rep 5/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 426/1280: MR_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 427/1280: MR_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 428/1280: MR_fixed_L (Rep 8/10)
   ✓ Rounds: 4, Final: $60, Stopped

📊 Experiment 429/1280: MR_fixed_L (Rep 9/10)
   ✓ Rounds: 3, Final: $100, Stopped

📊 Experiment 430/1280: MR_fixed_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (430 experiments)

📊 Experiment 431/1280: MW_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 432/1280: MW_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 433/1280: MW_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 434/1280: MW_fixed_L (Rep 4/10)
   ✓ Rounds: 4, Final: $60, Stopped

📊 Experiment 435/1280: MW_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 436/1280: MW_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 437/1280: MW_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 438/1280: MW_fixed_L (Rep 8/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 439/1280: MW_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 440/1280: MW_fixed_L (Rep 10/10)
