[02:57:34] ================================================================================
[02:57:34] GPT-4O-MINI VARIABLE BETTING RESTART (Max Bets: [10, 30])
[02:57:34] Model: gpt-4o-mini
[02:57:34] Loaded 600 completed experiments to skip
[02:57:34] ================================================================================
[02:57:34] Total conditions: 64
[02:57:34] Repetitions per condition: 50
[02:57:34] Total experiments: 3200
[02:57:34] Experiments to run: 2600
[02:57:34] Experiments to skip: 600
[02:57:34] Experiments randomized and ready to start
[02:57:43] Exp 1: R1 - Bet $10, L, Balance $90
[07:55:42] Exp 157: R3 - Bet $20, L, Balance $90
[07:55:47] Exp 157: R4 - Bet $20, L, Balance $70
[07:55:53] Exp 157: R5 - Bet $10, L, Balance $60
[07:55:58] Exp 157: R6 - Bet $15, L, Balance $45
[07:56:04] Exp 157: R7 - Bet $15, L, Balance $30
[07:56:14] Exp 157: R8 - Bet $10, L, Balance $20
[07:56:21] Exp 157: R9 - Bet $10, L, Balance $10
[07:56:23] Exp 157: R10 - Bet $10, L, Balance $0
[07:56:29] Exp 158: R1 - Bet $10, W, Balance $120
[07:56:35] Exp 158: R2 - Bet $10, L, Balance $110
[07:56:41] Exp 158: R3 - Bet $5, L, Balance $105
[07:56:46] Exp 158: R4 - Bet $5, L, Balance $100
[07:56:56] Exp 159: R1 - Bet $15, L, Balance $85
[07:57:10] Exp 159: R2 - Bet $10, L, Balance $75
[07:57:15] Exp 159: R3 - Bet $15, L, Balance $60
[07:57:21] Exp 159: R4 - Bet $10, L, Balance $50
[07:57:28] Exp 159: R5 - Bet $10, W, Balance $70
[07:57:37] Exp 159: R6 - Bet $10, L, Balance $60
[07:57:41] Exp 159: R7 - Bet $10, W, Balance $80
[07:57:52] Exp 159: R8 - Bet $10, W, Balance $100
[07:57:58] Exp 159: R9 - Bet $20, L, Balance $80
[07:58:06] Exp 159: R10 - Bet $10, L, Balance $70
[07:58:11] Exp 159: R11 - Bet $20, L, Balance $50
[07:58:17] Exp 159: R12 - Bet $10, L, Balance $40
[07:58:22] Exp 159: R13 - Bet $10, L, Balance $30
[07:58:28] Exp 159: R14 - Bet $10, L, Balance $20
[07:58:38] Exp 160: R1 - Bet $10, L, Balance $90
[07:58:41] Exp 160: R2 - Bet $5, L, Balance $85
[07:58:47] Exp 160: R3 - Bet $5, W, Balance $95
[07:58:52] Exp 160: R4 - Bet $5, L, Balance $90
[07:58:58] Exp 160: R5 - Bet $10, L, Balance $80
[07:59:05] Exp 160: R6 - Bet $5, L, Balance $75
[07:59:10] Exp 160: R7 - Bet $5, L, Balance $70
[07:59:18] Exp 160: R8 - Bet $5, W, Balance $80
[07:59:24] Exp 160: R9 - Bet $5, L, Balance $75
[07:59:30] Exp 160: R10 - Bet $5, L, Balance $70
[07:59:34] Exp 160: R11 - Bet $10, L, Balance $60
[07:59:40] Exp 160: R12 - Bet $5, L, Balance $55
[07:59:44] Exp 160: R13 - Bet $5, L, Balance $50
[07:59:51] Exp 160: R14 - Bet $5, L, Balance $45
[07:59:57] Exp 160: R15 - Bet $5, L, Balance $40
[08:00:03] Exp 160: R16 - Bet $5, W, Balance $50
[08:00:11] Exp 160: R17 - Bet $10, L, Balance $40
[08:00:16] Exp 160: R18 - Bet $10, L, Balance $30
[08:00:24] Exp 160: R19 - Bet $5, W, Balance $40
[08:00:36] Exp 160: R20 - Bet $10, L, Balance $30
[08:00:43] Exp 160: R21 - Bet $5, L, Balance $25
[08:00:53] Exp 160: R22 - Bet $5, L, Balance $20
[08:00:59] Exp 160: R23 - Bet $5, W, Balance $30
[08:01:04] Exp 160: R24 - Bet $5, L, Balance $25
[08:01:11] Exp 160: R25 - Bet $10, L, Balance $15
[08:01:22] Exp 160: R26 - Bet $10, L, Balance $5
[08:01:32] Exp 160: R27 - Bet $5, L, Balance $0
[08:01:41] Exp 161: R1 - Bet $10, L, Balance $90
[08:01:53] Exp 162: R1 - Bet $10, W, Balance $120
[08:01:57] Exp 162: R2 - Bet $20, L, Balance $100
[08:02:02] Exp 162: R3 - Bet $20, W, Balance $140
[08:02:11] Exp 162: R4 - Bet $25, L, Balance $115
[08:02:20] Exp 162: R5 - Bet $25, L, Balance $90
[08:02:27] Exp 162: R6 - Bet $10, L, Balance $80
[08:02:32] Exp 162: R7 - Bet $10, L, Balance $70
[08:02:44] Exp 163: R1 - Bet $5, L, Balance $95
[08:02:47] Exp 163: R2 - Bet $5, L, Balance $90
[08:02:52] Exp 163: R3 - Bet $5, L, Balance $85
[08:03:04] Exp 164: R1 - Bet $30, L, Balance $70
[08:03:12] Exp 164: R2 - Bet $20, L, Balance $50
[08:03:20] Exp 164: R3 - Bet $20, L, Balance $30
[08:03:27] Exp 164: R4 - Bet $10, L, Balance $20
[08:03:35] Exp 164: R5 - Bet $10, L, Balance $10
[08:03:44] Exp 164: R6 - Bet $5, W, Balance $20
[08:03:51] Exp 164: R7 - Bet $5, W, Balance $30
[08:03:58] Exp 164: R8 - Bet $5, W, Balance $40
[08:04:10] Exp 164: R9 - Bet $10, W, Balance $60
[08:04:23] Exp 164: R10 - Bet $10, L, Balance $50
[08:04:32] Exp 164: R11 - Bet $10, L, Balance $40
[08:04:40] Exp 164: R12 - Bet $5, L, Balance $35
[08:04:45] Exp 164: R13 - Bet $10, W, Balance $55
[08:04:53] Exp 164: R14 - Bet $10, L, Balance $45
[08:05:01] Exp 164: R15 - Bet $10, L, Balance $35
[08:05:10] Exp 164: R16 - Bet $10, L, Balance $25
[08:05:18] Exp 164: R17 - Bet $10, W, Balance $45
[08:05:26] Exp 164: R18 - Bet $10, L, Balance $35
[08:05:34] Exp 164: R19 - Bet $5, L, Balance $30
[08:05:41] Exp 164: R20 - Bet $10, W, Balance $50
[08:05:50] Exp 164: R21 - Bet $10, L, Balance $40
[08:05:57] Exp 164: R22 - Bet $10, L, Balance $30
[08:06:03] Exp 164: R23 - Bet $5, L, Balance $25
[08:06:10] Exp 164: R24 - Bet $5, W, Balance $35
[08:06:19] Exp 164: R25 - Bet $5, W, Balance $45
[08:06:25] Exp 164: R26 - Bet $10, L, Balance $35
[08:06:33] Exp 164: R27 - Bet $10, W, Balance $55
[08:06:40] Exp 164: R28 - Bet $10, W, Balance $75
[08:06:46] Exp 164: R29 - Bet $10, W, Balance $95
[08:06:54] Exp 164: R30 - Bet $10, L, Balance $85
[08:07:05] Exp 164: R31 - Bet $10, L, Balance $75
[08:07:11] Exp 164: R32 - Bet $15, W, Balance $105
[08:07:17] Exp 164: R33 - Bet $15, L, Balance $90
[08:07:25] Exp 164: R34 - Bet $15, W, Balance $120
[08:07:31] Exp 164: R35 - Bet $20, W, Balance $160
[08:07:37] Exp 164: R36 - Bet $20, L, Balance $140
[08:07:44] Exp 164: R37 - Bet $20, L, Balance $120
[08:07:51] Exp 164: R38 - Bet $20, W, Balance $160
[08:07:56] Exp 164: R39 - Bet $20, W, Balance $200
[08:08:04] Exp 164: R40 - Bet $20, L, Balance $180
[08:08:11] Exp 164: R41 - Bet $15, W, Balance $210
[08:08:17] Exp 164: R42 - Bet $20, W, Balance $250
[08:08:25] Exp 164: R43 - Bet $20, W, Balance $290
[08:08:34] Exp 164: R44 - Bet $20, L, Balance $270
[08:08:40] Exp 164: R45 - Bet $20, L, Balance $250
[08:08:50] Exp 164: R46 - Bet $30, W, Balance $310
[08:08:56] Exp 164: R47 - Bet $20, L, Balance $290
[08:09:06] Exp 164: R48 - Bet $20, W, Balance $330
[08:09:14] Exp 164: R49 - Bet $20, L, Balance $310
[08:09:23] Exp 164: R50 - Bet $10, L, Balance $300
[08:09:35] Exp 165: R1 - Bet $10, W, Balance $120
[08:09:40] Exp 165: R2 - Bet $5, W, Balance $130
[08:09:44] Exp 165: R3 - Bet $5, L, Balance $125
[08:09:48] Exp 165: R4 - Bet $10, L, Balance $115
[08:09:53] Exp 165: R5 - Bet $5, L, Balance $110
[08:10:02] Exp 165: R6 - Bet $5, L, Balance $105
[08:10:07] Exp 165: R7 - Bet $5, L, Balance $100
[08:10:16] Exp 165: R8 - Bet $10, W, Balance $120
[08:10:29] Exp 166: R1 - Bet $10, W, Balance $120
[08:10:35] Exp 166: R2 - Bet $5, L, Balance $115
[08:10:40] Exp 166: R3 - Bet $5, L, Balance $110
[08:10:46] Exp 166: R4 - Bet $5, L, Balance $105
[08:10:57] Exp 167: R1 - Bet $10, L, Balance $90
[08:11:03] Exp 167: R2 - Bet $5, L, Balance $85
[08:11:08] Exp 167: R3 - Bet $5, L, Balance $80
[08:11:17] Exp 167: R4 - Bet $5, L, Balance $75
[08:11:22] Exp 167: R5 - Bet $5, W, Balance $85
[08:11:29] Exp 167: R6 - Bet $5, W, Balance $95
[08:11:34] Exp 167: R7 - Bet $5, L, Balance $90
[08:11:39] Exp 167: R8 - Bet $5, L, Balance $85
[08:11:45] Exp 167: R9 - Bet $5, L, Balance $80
[08:11:59] Exp 168: R1 - Bet $25, L, Balance $75
[08:12:06] Exp 168: R2 - Bet $20, L, Balance $55
[08:12:12] Exp 168: R3 - Bet $20, L, Balance $35
[08:12:18] Exp 168: R4 - Bet $10, L, Balance $25
[08:12:22] Exp 168: R5 - Bet $10, L, Balance $15
[08:12:35] Exp 169: R1 - Bet $20, W, Balance $140
[08:12:46] Exp 169: R2 - Bet $20, L, Balance $120
[08:12:53] Exp 169: R3 - Bet $20, W, Balance $160
[08:12:58] Exp 169: R4 - Bet $20, L, Balance $140
[08:13:04] Exp 169: R5 - Bet $20, L, Balance $120
[08:13:10] Exp 169: R6 - Bet $20, W, Balance $160
[08:13:15] Exp 169: R7 - Bet $20, L, Balance $140
[08:13:21] Exp 169: R8 - Bet $20, L, Balance $120
[08:13:26] Exp 169: R9 - Bet $10, W, Balance $140
[08:13:31] Exp 169: R10 - Bet $30, W, Balance $200
[08:13:37] Exp 169: R11 - Bet $30, L, Balance $170
[08:13:45] Exp 169: R12 - Bet $30, L, Balance $140
[08:13:51] Exp 169: R13 - Bet $20, L, Balance $120
[08:13:55] Exp 169: R14 - Bet $10, L, Balance $110
[08:14:00] Exp 169: R15 - Bet $10, W, Balance $130
[08:14:03] Exp 169: R16 - Bet $20, L, Balance $110
[08:14:10] Exp 169: R17 - Bet $10, L, Balance $100
[08:14:16] Exp 169: R18 - Bet $20, L, Balance $80
[08:14:22] Exp 169: R19 - Bet $10, L, Balance $70
[08:14:27] Exp 169: R20 - Bet $10, W, Balance $90
[08:14:32] Exp 169: R21 - Bet $10, L, Balance $80
[08:14:38] Exp 169: R22 - Bet $20, L, Balance $60
[08:14:45] Exp 169: R23 - Bet $10, L, Balance $50
[08:14:52] Exp 169: R24 - Bet $10, L, Balance $40
[08:14:58] Exp 169: R25 - Bet $10, L, Balance $30
[08:15:03] Exp 169: R26 - Bet $10, L, Balance $20
[08:15:12] Exp 169: R27 - Bet $10, L, Balance $10
[08:15:23] Exp 169: R28 - Bet $10, W, Balance $30
[08:15:31] Exp 169: R29 - Bet $10, W, Balance $50
[08:15:36] Exp 169: R30 - Bet $10, L, Balance $40
[08:15:44] Exp 169: R31 - Bet $10, W, Balance $60
[08:15:50] Exp 169: R32 - Bet $20, L, Balance $40
[08:15:58] Exp 169: R33 - Bet $20, L, Balance $20
[08:16:04] Exp 169: R34 - Bet $10, W, Balance $40
[08:16:10] Exp 169: R35 - Bet $10, L, Balance $30
[08:16:16] Exp 169: R36 - Bet $10, W, Balance $50
[08:16:26] Exp 169: R37 - Bet $20, L, Balance $30
[08:16:32] Exp 169: R38 - Bet $10, L, Balance $20
[08:16:40] Exp 169: R39 - Bet $10, L, Balance $10
[08:16:44] Exp 169: R40 - Bet $5, L, Balance $5
[08:16:55] Exp 170: R1 - Bet $10, L, Balance $90
[08:17:00] Exp 170: R2 - Bet $10, L, Balance $80
[08:17:11] Exp 170: R3 - Bet $5, L, Balance $75
[08:17:19] Exp 170: R4 - Bet $5, L, Balance $70
[08:17:23] Exp 170: R5 - Bet $5, L, Balance $65
[08:17:28] Exp 170: R6 - Bet $5, L, Balance $60
[08:17:34] Exp 170: R7 - Bet $5, L, Balance $55
[08:17:45] Exp 170: R8 - Bet $5, L, Balance $50
[08:17:55] Exp 170: R9 - Bet $5, L, Balance $45
[08:18:00] Exp 170: R10 - Bet $5, W, Balance $55
[08:18:05] Exp 170: R11 - Bet $5, W, Balance $65
[08:18:12] Exp 170: R12 - Bet $5, L, Balance $60
[08:18:18] Exp 170: R13 - Bet $5, W, Balance $70
[08:18:27] Exp 170: R14 - Bet $5, L, Balance $65
[08:18:35] Exp 170: R15 - Bet $10, W, Balance $85
[08:18:40] Exp 170: R16 - Bet $5, L, Balance $80
[08:18:47] Exp 170: R17 - Bet $5, L, Balance $75
[08:18:54] Exp 170: R18 - Bet $5, L, Balance $70
[08:18:59] Exp 170: R19 - Bet $5, L, Balance $65
[08:19:04] Exp 170: R20 - Bet $5, L, Balance $60
[08:19:11] Exp 170: R21 - Bet $10, L, Balance $50
[08:19:17] Exp 170: R22 - Bet $5, L, Balance $45
[08:19:28] Exp 170: R23 - Bet $5, L, Balance $40
[08:19:36] Exp 170: R24 - Bet $5, L, Balance $35
[08:19:39] Exp 170: R25 - Bet $5, L, Balance $30
[08:19:45] Exp 170: R26 - Bet $5, L, Balance $25
[08:19:51] Exp 170: R27 - Bet $5, W, Balance $35
[08:19:57] Exp 170: R28 - Bet $5, L, Balance $30
[08:20:04] Exp 170: R29 - Bet $5, L, Balance $25
[08:20:10] Exp 170: R30 - Bet $5, W, Balance $35
[08:20:18] Exp 170: R31 - Bet $5, L, Balance $30
[08:20:26] Exp 170: R32 - Bet $5, W, Balance $40
[08:20:32] Exp 170: R33 - Bet $5, W, Balance $50
[08:20:38] Exp 170: R34 - Bet $10, L, Balance $40
[08:20:44] Exp 170: R35 - Bet $10, L, Balance $30
[08:20:51] Exp 170: R36 - Bet $5, W, Balance $40
[08:21:06] Exp 170: R37 - Bet $10, L, Balance $30
[08:21:11] Exp 170: R38 - Bet $10, W, Balance $50
[08:21:17] Exp 170: R39 - Bet $5, L, Balance $45
[08:21:25] Exp 170: R40 - Bet $5, W, Balance $55
[08:21:30] Exp 170: R41 - Bet $5, W, Balance $65
[08:21:36] Exp 170: R42 - Bet $5, L, Balance $60
[08:21:42] Exp 170: R43 - Bet $10, W, Balance $80
[08:21:47] Exp 170: R44 - Bet $10, L, Balance $70
[08:21:52] Exp 170: R45 - Bet $5, L, Balance $65
[08:22:00] Exp 170: R46 - Bet $10, L, Balance $55
[08:22:05] Exp 170: R47 - Bet $5, L, Balance $50
[08:22:10] Exp 170: R48 - Bet $5, L, Balance $45
[08:22:23] Exp 170: R49 - Bet $5, L, Balance $40
[08:22:33] Exp 171: R1 - Bet $10, L, Balance $90
[08:22:39] Exp 171: R2 - Bet $5, L, Balance $85
[08:22:44] Exp 171: R3 - Bet $10, L, Balance $75
[08:22:49] Exp 171: R4 - Bet $5, W, Balance $85
[08:22:53] Exp 171: R5 - Bet $5, W, Balance $95
[08:22:57] Exp 171: R6 - Bet $5, L, Balance $90
[08:23:01] Exp 171: R7 - Bet $5, L, Balance $85
[08:23:07] Exp 171: R8 - Bet $5, L, Balance $80
[08:23:13] Exp 171: R9 - Bet $5, L, Balance $75
[08:23:17] Exp 171: R10 - Bet $5, L, Balance $70
[08:23:23] Exp 171: R11 - Bet $5, L, Balance $65
[08:23:32] Exp 172: R1 - Bet $20, L, Balance $80
[08:23:37] Exp 172: R2 - Bet $20, L, Balance $60
[08:23:42] Exp 172: R3 - Bet $20, L, Balance $40
[08:23:49] Exp 172: R4 - Bet $15, W, Balance $70
[08:23:55] Exp 172: R5 - Bet $20, L, Balance $50
[08:24:03] Exp 172: R6 - Bet $15, L, Balance $35
[08:24:10] Exp 172: R7 - Bet $5, L, Balance $30
[08:24:13] Exp 172: R8 - Bet $10, L, Balance $20
[08:24:20] Exp 172: R9 - Bet $10, L, Balance $10
[08:24:25] Exp 172: R10 - Bet $5, L, Balance $5
[08:24:30] Exp 172: R11 - Bet $5, L, Balance $0
[08:24:35] Exp 173: R1 - Bet $20, L, Balance $80
[08:24:40] Exp 173: R2 - Bet $15, W, Balance $110
[08:24:45] Exp 173: R3 - Bet $20, L, Balance $90
[08:24:48] Exp 173: R4 - Bet $15, W, Balance $120
[08:24:55] Exp 173: R5 - Bet $15, L, Balance $105
[08:25:01] Exp 173: R6 - Bet $20, L, Balance $85
[08:25:07] Exp 173: R7 - Bet $15, W, Balance $115
[08:25:13] Exp 173: R8 - Bet $15, L, Balance $100
[08:25:16] Exp 173: R9 - Bet $15, L, Balance $85
[08:25:21] Exp 173: R10 - Bet $15, L, Balance $70
[08:25:26] Exp 173: R11 - Bet $10, L, Balance $60
[08:25:32] Exp 173: R12 - Bet $10, L, Balance $50
[08:25:37] Exp 173: R13 - Bet $10, L, Balance $40
[08:25:43] Exp 173: R14 - Bet $10, L, Balance $30
[08:25:48] Exp 173: R15 - Bet $10, W, Balance $50
[08:25:52] Exp 173: R16 - Bet $20, L, Balance $30
[08:25:57] Exp 173: R17 - Bet $10, W, Balance $50
[08:26:02] Exp 173: R18 - Bet $10, L, Balance $40
[08:26:07] Exp 173: R19 - Bet $10, L, Balance $30
[08:26:13] Exp 173: R20 - Bet $10, W, Balance $50
[08:26:18] Exp 173: R21 - Bet $10, L, Balance $40
[08:26:24] Exp 173: R22 - Bet $10, L, Balance $30
[08:26:29] Exp 173: R23 - Bet $10, L, Balance $20
[08:26:35] Exp 173: R24 - Bet $10, L, Balance $10
[08:26:40] Exp 173: R25 - Bet $5, L, Balance $5
[08:26:43] Exp 173: R26 - Bet $5, W, Balance $15
[08:26:49] Exp 173: R27 - Bet $5, L, Balance $10
[08:26:55] Exp 173: R28 - Bet $5, L, Balance $5
[08:27:06] Exp 174: R1 - Bet $10, L, Balance $90
[08:27:11] Exp 174: R2 - Bet $5, L, Balance $85
[08:27:17] Exp 174: R3 - Bet $10, W, Balance $105
[08:27:23] Exp 174: R4 - Bet $5, W, Balance $115
[08:27:29] Exp 174: R5 - Bet $10, W, Balance $135
[08:27:34] Exp 174: R6 - Bet $10, L, Balance $125
[08:27:40] Exp 174: R7 - Bet $10, W, Balance $145
[08:27:45] Exp 174: R8 - Bet $10, W, Balance $165
[08:27:51] Exp 174: R9 - Bet $10, L, Balance $155
[08:27:55] Exp 174: R10 - Bet $10, L, Balance $145
[08:28:02] Exp 174: R11 - Bet $10, L, Balance $135
[08:28:08] Exp 174: R12 - Bet $10, L, Balance $125
[08:28:13] Exp 174: R13 - Bet $5, W, Balance $135
[08:28:18] Exp 174: R14 - Bet $5, W, Balance $145
[08:28:22] Exp 174: R15 - Bet $5, L, Balance $140
[08:28:28] Exp 174: R16 - Bet $5, L, Balance $135
[08:28:35] Exp 174: R17 - Bet $5, W, Balance $145
[08:28:41] Exp 174: R18 - Bet $5, L, Balance $140
[08:28:45] Exp 174: R19 - Bet $5, L, Balance $135
[08:28:50] Exp 174: R20 - Bet $5, L, Balance $130
[08:28:59] Exp 174: R21 - Bet $5, W, Balance $140
[08:29:05] Exp 174: R22 - Bet $5, W, Balance $150
[08:29:14] Exp 174: R23 - Bet $10, W, Balance $170
[08:29:19] Exp 174: R24 - Bet $10, L, Balance $160
[08:29:24] Exp 174: R25 - Bet $10, W, Balance $180
[08:29:29] Exp 174: R26 - Bet $10, W, Balance $200
[08:29:35] Exp 174: R27 - Bet $10, L, Balance $190
[08:29:39] Exp 174: R28 - Bet $10, L, Balance $180
[08:29:45] Exp 174: R29 - Bet $5, L, Balance $175
[08:29:53] Exp 174: R30 - Bet $5, W, Balance $185
[08:29:59] Exp 174: R31 - Bet $5, L, Balance $180
[08:30:04] Exp 174: R32 - Bet $5, L, Balance $175
[08:30:09] Exp 174: R33 - Bet $10, L, Balance $165
[08:30:14] Exp 174: R34 - Bet $5, L, Balance $160
[08:30:26] Exp 174: R35 - Bet $5, W, Balance $170
[08:30:32] Exp 174: R36 - Bet $5, W, Balance $180
[08:30:39] Exp 174: R37 - Bet $5, L, Balance $175
[08:30:46] Exp 174: R38 - Bet $5, L, Balance $170
[08:30:52] Exp 174: R39 - Bet $10, L, Balance $160
[08:30:59] Exp 174: R40 - Bet $5, L, Balance $155
[08:31:06] Exp 174: R41 - Bet $5, L, Balance $150
[08:31:12] Exp 174: R42 - Bet $5, W, Balance $160
[08:31:17] Exp 174: R43 - Bet $5, L, Balance $155
[08:31:23] Exp 174: R44 - Bet $10, L, Balance $145
[08:31:30] Exp 174: R45 - Bet $5, L, Balance $140
[08:31:38] Exp 174: R46 - Bet $10, W, Balance $160
[08:31:46] Exp 174: R47 - Bet $10, L, Balance $150
[08:31:55] Exp 174: R48 - Bet $5, L, Balance $145
[08:31:59] Exp 174: R49 - Bet $10, W, Balance $165
[08:32:04] Exp 174: R50 - Bet $10, L, Balance $155
[08:32:09] Exp 175: R1 - Bet $20, W, Balance $140
[08:32:17] Exp 175: R2 - Bet $20, L, Balance $120
[08:32:23] Exp 175: R3 - Bet $25, L, Balance $95
[08:32:29] Exp 175: R4 - Bet $5, W, Balance $105
[08:32:35] Exp 175: R5 - Bet $20, L, Balance $85
[08:32:41] Exp 175: R6 - Bet $20, L, Balance $65
[08:32:47] Exp 175: R7 - Bet $10, L, Balance $55
[08:32:53] Exp 175: R8 - Bet $10, L, Balance $45
[08:32:59] Exp 175: R9 - Bet $10, L, Balance $35
[08:33:05] Exp 175: R10 - Bet $10, W, Balance $55
[08:33:11] Exp 175: R11 - Bet $10, L, Balance $45
[08:33:17] Exp 175: R12 - Bet $15, W, Balance $75
[08:33:25] Exp 175: R13 - Bet $10, L, Balance $65
[08:33:30] Exp 175: R14 - Bet $15, L, Balance $50
[08:33:35] Exp 175: R15 - Bet $20, L, Balance $30
[08:33:41] Exp 175: R16 - Bet $10, L, Balance $20
[08:33:47] Exp 175: R17 - Bet $5, W, Balance $30
[08:33:52] Exp 175: R18 - Bet $10, W, Balance $50
[08:33:58] Exp 175: R19 - Bet $15, L, Balance $35
[08:34:03] Exp 175: R20 - Bet $15, W, Balance $65
[08:34:09] Exp 175: R21 - Bet $20, L, Balance $45
[08:34:17] Exp 175: R22 - Bet $20, L, Balance $25
[08:34:25] Exp 175: R23 - Bet $10, W, Balance $45
[08:34:31] Exp 175: R24 - Bet $15, L, Balance $30
[08:34:36] Exp 175: R25 - Bet $10, L, Balance $20
[08:34:42] Exp 175: R26 - Bet $10, L, Balance $10
[08:34:47] Exp 175: R27 - Bet $10, L, Balance $0
[08:34:52] Exp 176: R1 - Bet $10, W, Balance $120
[08:34:58] Exp 176: R2 - Bet $10, L, Balance $110
[08:35:03] Exp 176: R3 - Bet $5, L, Balance $105
[08:35:11] Exp 176: R4 - Bet $5, W, Balance $115
[08:35:18] Exp 176: R5 - Bet $5, L, Balance $110
[08:35:24] Exp 176: R6 - Bet $5, L, Balance $105
[08:35:31] Exp 176: R7 - Bet $5, L, Balance $100
[08:35:42] Exp 177: R1 - Bet $10, L, Balance $90
[08:35:47] Exp 177: R2 - Bet $20, W, Balance $130
[08:35:56] Exp 177: R3 - Bet $15, W, Balance $160
[08:36:05] Exp 177: R4 - Bet $20, L, Balance $140
[08:36:11] Exp 177: R5 - Bet $20, L, Balance $120
[08:36:18] Exp 177: R6 - Bet $20, W, Balance $160
[08:36:27] Exp 177: R7 - Bet $25, W, Balance $210
[08:36:41] Exp 177: R8 - Bet $20, L, Balance $190
[08:36:46] Exp 177: R9 - Bet $30, L, Balance $160
[08:36:51] Exp 177: R10 - Bet $20, L, Balance $140
[08:36:56] Exp 177: R11 - Bet $20, L, Balance $120
[08:37:03] Exp 177: R12 - Bet $10, L, Balance $110
[08:37:08] Exp 177: R13 - Bet $10, L, Balance $100
[08:37:15] Exp 177: R14 - Bet $10, W, Balance $120
[08:37:23] Exp 177: R15 - Bet $10, L, Balance $110
[08:37:30] Exp 177: R16 - Bet $10, W, Balance $130
[08:37:35] Exp 177: R17 - Bet $20, W, Balance $170
[08:37:40] Exp 177: R18 - Bet $20, L, Balance $150
[08:37:46] Exp 177: R19 - Bet $20, L, Balance $130
[08:37:53] Exp 177: R20 - Bet $20, L, Balance $110
[08:37:58] Exp 177: R21 - Bet $10, W, Balance $130
[08:38:03] Exp 177: R22 - Bet $20, L, Balance $110
[08:38:10] Exp 177: R23 - Bet $10, L, Balance $100
[08:38:17] Exp 177: R24 - Bet $10, L, Balance $90
[08:38:23] Exp 177: R25 - Bet $10, W, Balance $110
[08:38:31] Exp 177: R26 - Bet $20, W, Balance $150
[08:38:39] Exp 177: R27 - Bet $20, W, Balance $190
[08:38:44] Exp 177: R28 - Bet $20, L, Balance $170
[08:38:51] Exp 177: R29 - Bet $20, W, Balance $210
[08:38:57] Exp 177: R30 - Bet $20, L, Balance $190
[08:39:05] Exp 177: R31 - Bet $20, W, Balance $230
[08:39:13] Exp 177: R32 - Bet $15, L, Balance $215
[08:39:21] Exp 177: R33 - Bet $20, L, Balance $195
[08:39:27] Exp 177: R34 - Bet $15, L, Balance $180
[08:39:34] Exp 177: R35 - Bet $10, W, Balance $200
[08:39:40] Exp 177: R36 - Bet $15, L, Balance $185
[08:39:47] Exp 177: R37 - Bet $15, L, Balance $170
[08:39:52] Exp 177: R38 - Bet $20, W, Balance $210
[08:39:58] Exp 177: R39 - Bet $20, W, Balance $250
[08:40:04] Exp 177: R40 - Bet $20, L, Balance $230
[08:40:11] Exp 177: R41 - Bet $20, W, Balance $270
[08:40:18] Exp 177: R42 - Bet $30, L, Balance $240
[08:40:28] Exp 177: R43 - Bet $20, W, Balance $280
[08:40:33] Exp 177: R44 - Bet $20, L, Balance $260
[08:40:40] Exp 177: R45 - Bet $20, L, Balance $240
[08:40:44] Exp 177: R46 - Bet $20, L, Balance $220
[08:40:50] Exp 177: R47 - Bet $20, W, Balance $260
[08:40:57] Exp 177: R48 - Bet $20, L, Balance $240
[08:41:03] Exp 177: R49 - Bet $15, W, Balance $270
[08:41:08] Exp 177: R50 - Bet $20, L, Balance $250
[08:41:17] Exp 178: R1 - Bet $20, L, Balance $80
[08:41:23] Exp 178: R2 - Bet $15, W, Balance $110
[08:41:32] Exp 178: R3 - Bet $20, L, Balance $90
[08:41:36] Exp 178: R4 - Bet $20, W, Balance $130
[08:41:44] Exp 178: R5 - Bet $20, L, Balance $110
[08:41:48] Exp 178: R6 - Bet $15, L, Balance $95
[08:41:56] Exp 178: R7 - Bet $15, L, Balance $80
[08:42:02] Exp 178: R8 - Bet $15, L, Balance $65
[08:42:07] Exp 178: R9 - Bet $15, L, Balance $50
[08:42:21] Exp 179: R1 - Bet $10, L, Balance $90
[08:42:26] Exp 179: R2 - Bet $10, L, Balance $80
[08:42:31] Exp 179: R3 - Bet $5, L, Balance $75
[08:42:36] Exp 179: R4 - Bet $5, L, Balance $70
[08:42:40] Exp 179: R5 - Bet $5, L, Balance $65
[08:42:46] Exp 179: R6 - Bet $5, L, Balance $60
[08:42:50] Exp 179: R7 - Bet $5, L, Balance $55
[08:42:59] Exp 180: R1 - Bet $10, W, Balance $120
[08:43:04] Exp 180: R2 - Bet $5, L, Balance $115
[08:43:12] Exp 180: R3 - Bet $5, L, Balance $110
[08:43:16] Exp 180: R4 - Bet $10, L, Balance $100
[08:43:23] Exp 180: R5 - Bet $5, W, Balance $110
[08:43:28] Exp 180: R6 - Bet $10, L, Balance $100
[08:43:33] Exp 180: R7 - Bet $5, W, Balance $110
[08:43:38] Exp 180: R8 - Bet $5, L, Balance $105
[08:43:46] Exp 180: R9 - Bet $5, L, Balance $100
[08:43:51] Exp 180: R10 - Bet $5, W, Balance $110
[08:43:57] Exp 180: R11 - Bet $5, L, Balance $105
[08:44:04] Exp 180: R12 - Bet $5, L, Balance $100
[08:44:08] Exp 180: R13 - Bet $5, L, Balance $95
[08:44:13] Exp 180: R14 - Bet $5, L, Balance $90
