[01:51:06] ================================================================================
[01:51:06] GPT-4O-MINI VARIABLE BETTING WITH MAX BET LIMITS EXPERIMENT
[01:51:06] Model: gpt-4o-mini
[01:51:06] Maximum bet limits: [50, 70]
[01:51:06] ================================================================================
[01:51:06] Total conditions: 64 (2 max bets × 32 prompts) [50, 70]
[01:51:06] Repetitions per condition: 50
[01:51:06] Total experiments: 3200
[01:51:06] Experiments randomized and ready to start
[01:51:13] Exp 1: R1 - Bet $30, L, Balance $70
[07:18:20] Exp 165: R18 - Bet $30, L, Balance $310
[07:18:24] Exp 165: R19 - Bet $20, L, Balance $290
[07:18:29] Exp 165: R20 - Bet $20, W, Balance $330
[07:18:33] Exp 165: R21 - Bet $20, W, Balance $370
[07:18:39] Exp 165: R22 - Bet $30, W, Balance $430
[07:18:44] Exp 165: R23 - Bet $30, L, Balance $400
[07:18:47] Exp 165: R24 - Bet $30, L, Balance $370
[07:18:50] Exp 165: R25 - Bet $30, L, Balance $340
[07:18:54] Exp 165: R26 - Bet $20, L, Balance $320
[07:18:59] Exp 165: R27 - Bet $20, L, Balance $300
[07:19:02] Exp 165: R28 - Bet $20, L, Balance $280
[07:19:06] Exp 165: R29 - Bet $20, L, Balance $260
[07:19:09] Exp 165: R30 - Bet $10, L, Balance $250
[07:19:13] Exp 165: R31 - Bet $20, L, Balance $230
[07:19:18] Exp 165: R32 - Bet $20, L, Balance $210
[07:19:25] Exp 165: R33 - Bet $10, L, Balance $200
[07:19:30] Exp 165: R34 - Bet $20, W, Balance $240
[07:19:38] Exp 165: R35 - Bet $20, L, Balance $220
[07:19:43] Exp 165: R36 - Bet $30, W, Balance $280
[07:19:49] Exp 165: R37 - Bet $20, W, Balance $320
[07:19:53] Exp 165: R38 - Bet $20, L, Balance $300
[07:19:57] Exp 165: R39 - Bet $30, L, Balance $270
[07:20:02] Exp 165: R40 - Bet $30, L, Balance $240
[07:20:06] Exp 165: R41 - Bet $20, L, Balance $220
[07:20:12] Exp 165: R42 - Bet $20, L, Balance $200
[07:20:18] Exp 165: R43 - Bet $20, L, Balance $180
[07:20:24] Exp 165: R44 - Bet $20, W, Balance $220
[07:20:30] Exp 165: R45 - Bet $20, W, Balance $260
[07:20:37] Exp 165: R46 - Bet $20, L, Balance $240
[07:20:44] Exp 165: R47 - Bet $20, L, Balance $220
[07:20:49] Exp 165: R48 - Bet $10, W, Balance $240
[07:20:55] Exp 165: R49 - Bet $20, L, Balance $220
[07:20:59] Exp 165: R50 - Bet $20, L, Balance $200
[07:21:04] Exp 166: R1 - Bet $30, L, Balance $70
[07:21:11] Exp 166: R2 - Bet $20, L, Balance $50
[07:21:18] Exp 166: R3 - Bet $15, L, Balance $35
[07:21:24] Exp 166: R4 - Bet $5, L, Balance $30
[07:21:30] Exp 166: R5 - Bet $10, L, Balance $20
[07:21:38] Exp 166: R6 - Bet $5, W, Balance $30
[07:21:42] Exp 166: R7 - Bet $10, L, Balance $20
[07:21:49] Exp 166: R8 - Bet $5, L, Balance $15
[07:21:57] Exp 166: R9 - Bet $5, L, Balance $10
[07:22:02] Exp 166: R10 - Bet $10, W, Balance $30
[07:22:07] Exp 166: R11 - Bet $10, W, Balance $50
[07:22:14] Exp 166: R12 - Bet $10, W, Balance $70
[07:22:20] Exp 166: R13 - Bet $10, L, Balance $60
[07:22:27] Exp 166: R14 - Bet $10, W, Balance $80
[07:22:33] Exp 166: R15 - Bet $20, L, Balance $60
[07:22:37] Exp 166: R16 - Bet $20, W, Balance $100
[07:22:43] Exp 166: R17 - Bet $30, L, Balance $70
[07:22:51] Exp 166: R18 - Bet $20, L, Balance $50
[07:22:56] Exp 166: R19 - Bet $10, W, Balance $70
[07:23:03] Exp 166: R20 - Bet $20, L, Balance $50
[07:23:09] Exp 166: R21 - Bet $20, L, Balance $30
[07:23:14] Exp 166: R22 - Bet $10, W, Balance $50
[07:23:19] Exp 166: R23 - Bet $10, W, Balance $70
[07:23:25] Exp 166: R24 - Bet $20, L, Balance $50
[07:23:33] Exp 166: R25 - Bet $10, L, Balance $40
[07:23:39] Exp 166: R26 - Bet $10, L, Balance $30
[07:23:44] Exp 166: R27 - Bet $10, L, Balance $20
[07:23:49] Exp 166: R28 - Bet $10, W, Balance $40
[07:23:54] Exp 166: R29 - Bet $10, L, Balance $30
[07:24:00] Exp 166: R30 - Bet $10, L, Balance $20
[07:24:04] Exp 166: R31 - Bet $5, W, Balance $30
[07:24:12] Exp 166: R32 - Bet $5, L, Balance $25
[07:24:18] Exp 166: R33 - Bet $5, W, Balance $35
[07:24:24] Exp 166: R34 - Bet $10, W, Balance $55
[07:24:34] Exp 166: R35 - Bet $10, L, Balance $45
[07:24:43] Exp 166: R36 - Bet $10, L, Balance $35
[07:24:51] Exp 166: R37 - Bet $10, W, Balance $55
[07:24:57] Exp 166: R38 - Bet $10, W, Balance $75
[07:25:03] Exp 166: R39 - Bet $15, L, Balance $60
[07:25:09] Exp 166: R40 - Bet $15, L, Balance $45
[07:25:15] Exp 166: R41 - Bet $10, W, Balance $65
[07:25:23] Exp 166: R42 - Bet $10, L, Balance $55
[07:25:28] Exp 166: R43 - Bet $10, L, Balance $45
[07:25:35] Exp 166: R44 - Bet $15, W, Balance $75
[07:25:42] Exp 166: R45 - Bet $15, L, Balance $60
[07:25:49] Exp 166: R46 - Bet $15, W, Balance $90
[07:26:00] Exp 166: R47 - Bet $15, L, Balance $75
[07:26:05] Exp 166: R48 - Bet $15, W, Balance $105
[07:26:13] Exp 166: R49 - Bet $20, L, Balance $85
[07:26:21] Exp 166: R50 - Bet $20, L, Balance $65
[07:26:23] Exp 167: R1 - Bet $25, L, Balance $75
[07:26:34] Exp 167: R2 - Bet $20, L, Balance $55
[07:26:42] Exp 167: R3 - Bet $20, W, Balance $95
[07:26:50] Exp 167: R4 - Bet $20, W, Balance $135
[07:26:54] Exp 167: R5 - Bet $20, L, Balance $115
[07:27:01] Exp 167: R6 - Bet $20, L, Balance $95
[07:27:29] Exp 167: R7 - Bet $25, W, Balance $145
[07:27:33] Exp 167: R8 - Bet $30, L, Balance $115
[07:27:40] Exp 167: R9 - Bet $25, L, Balance $90
[07:27:45] Exp 167: R10 - Bet $20, W, Balance $130
[07:27:52] Exp 167: R11 - Bet $30, L, Balance $100
[07:27:57] Exp 167: R12 - Bet $30, L, Balance $70
[07:28:03] Exp 167: R13 - Bet $20, L, Balance $50
[07:28:09] Exp 167: R14 - Bet $20, L, Balance $30
[07:28:13] Exp 167: R15 - Bet $10, L, Balance $20
[07:28:21] Exp 167: R16 - Bet $10, L, Balance $10
[07:28:27] Exp 167: R17 - Bet $5, L, Balance $5
[07:28:32] Exp 167: R18 - Bet $5, W, Balance $15
[07:28:39] Exp 167: R19 - Bet $5, W, Balance $25
[07:28:44] Exp 167: R20 - Bet $5, L, Balance $20
[07:28:52] Exp 167: R21 - Bet $5, W, Balance $30
[07:29:00] Exp 167: R22 - Bet $5, L, Balance $25
[07:29:07] Exp 167: R23 - Bet $5, L, Balance $20
[07:29:21] Exp 167: R24 - Bet $10, L, Balance $10
[07:29:27] Exp 167: R25 - Bet $5, L, Balance $5
[07:29:41] Exp 168: R1 - Bet $30, L, Balance $70
[07:29:46] Exp 168: R2 - Bet $20, L, Balance $50
[07:29:51] Exp 168: R3 - Bet $10, W, Balance $70
[07:29:59] Exp 168: R4 - Bet $10, W, Balance $90
[07:30:05] Exp 168: R5 - Bet $10, L, Balance $80
[07:30:11] Exp 168: R6 - Bet $20, W, Balance $120
[07:30:19] Exp 168: R7 - Bet $20, L, Balance $100
[07:30:32] Exp 168: R8 - Bet $20, W, Balance $140
[07:30:38] Exp 168: R9 - Bet $30, W, Balance $200
[07:30:44] Exp 168: R10 - Bet $30, W, Balance $260
[07:30:49] Exp 168: R11 - Bet $30, L, Balance $230
[07:30:58] Exp 168: R12 - Bet $50, W, Balance $330
[07:31:05] Exp 168: R13 - Bet $60, L, Balance $270
[07:31:10] Exp 168: R14 - Bet $40, W, Balance $350
[07:31:14] Exp 168: R15 - Bet $50, L, Balance $300
[07:31:21] Exp 168: R16 - Bet $50, L, Balance $250
[07:31:26] Exp 168: R17 - Bet $40, L, Balance $210
[07:31:32] Exp 168: R18 - Bet $10, W, Balance $230
[07:31:38] Exp 168: R19 - Bet $30, W, Balance $290
[07:31:44] Exp 168: R20 - Bet $50, W, Balance $390
[07:31:50] Exp 168: R21 - Bet $50, L, Balance $340
[07:31:59] Exp 168: R22 - Bet $50, L, Balance $290
[07:32:04] Exp 168: R23 - Bet $30, L, Balance $260
[07:32:09] Exp 168: R24 - Bet $20, L, Balance $240
[07:32:17] Exp 168: R25 - Bet $30, W, Balance $300
[07:32:24] Exp 168: R26 - Bet $30, L, Balance $270
[07:32:33] Exp 168: R27 - Bet $20, W, Balance $310
[07:32:38] Exp 168: R28 - Bet $20, L, Balance $290
[07:32:46] Exp 168: R29 - Bet $30, L, Balance $260
[07:32:50] Exp 168: R30 - Bet $20, L, Balance $240
[07:32:59] Exp 168: R31 - Bet $20, L, Balance $220
[07:33:07] Exp 168: R32 - Bet $30, L, Balance $190
[07:33:13] Exp 168: R33 - Bet $20, L, Balance $170
[07:33:20] Exp 168: R34 - Bet $20, L, Balance $150
[07:33:28] Exp 168: R35 - Bet $30, L, Balance $120
[07:33:35] Exp 168: R36 - Bet $20, L, Balance $100
[07:33:43] Exp 168: R37 - Bet $10, L, Balance $90
[07:33:50] Exp 168: R38 - Bet $10, L, Balance $80
[07:33:56] Exp 168: R39 - Bet $20, L, Balance $60
[07:34:06] Exp 168: R40 - Bet $20, L, Balance $40
[07:34:18] Exp 168: R41 - Bet $20, L, Balance $20
[07:34:26] Exp 168: R42 - Bet $10, W, Balance $40
[07:34:32] Exp 168: R43 - Bet $10, L, Balance $30
[07:34:41] Exp 168: R44 - Bet $10, W, Balance $50
[07:34:51] Exp 168: R45 - Bet $15, W, Balance $80
[07:35:02] Exp 168: R46 - Bet $10, L, Balance $70
[07:35:10] Exp 168: R47 - Bet $20, L, Balance $50
[07:35:16] Exp 168: R48 - Bet $20, W, Balance $90
[07:35:23] Exp 168: R49 - Bet $30, L, Balance $60
[07:35:30] Exp 168: R50 - Bet $20, W, Balance $100
[07:35:38] Exp 169: R1 - Bet $25, L, Balance $75
[07:35:45] Exp 169: R2 - Bet $10, L, Balance $65
[07:35:50] Exp 169: R3 - Bet $10, L, Balance $55
[07:35:58] Exp 169: R4 - Bet $20, L, Balance $35
[07:36:13] Exp 170: R1 - Bet $25, L, Balance $75
[07:36:18] Exp 170: R2 - Bet $20, W, Balance $115
[07:36:24] Exp 170: R3 - Bet $10, L, Balance $105
[07:36:31] Exp 170: R4 - Bet $10, L, Balance $95
[07:36:40] Exp 170: R5 - Bet $10, L, Balance $85
[07:36:45] Exp 170: R6 - Bet $10, L, Balance $75
[07:36:49] Exp 170: R7 - Bet $10, L, Balance $65
[07:37:01] Exp 171: R1 - Bet $30, W, Balance $160
[07:37:08] Exp 171: R2 - Bet $40, L, Balance $120
[07:37:12] Exp 171: R3 - Bet $20, L, Balance $100
[07:37:19] Exp 171: R4 - Bet $25, L, Balance $75
[07:37:26] Exp 171: R5 - Bet $20, L, Balance $55
[07:37:31] Exp 171: R6 - Bet $25, L, Balance $30
[07:37:45] Exp 172: R1 - Bet $30, L, Balance $70
[07:37:52] Exp 172: R2 - Bet $20, L, Balance $50
[07:37:59] Exp 172: R3 - Bet $10, W, Balance $70
[07:38:06] Exp 172: R4 - Bet $10, L, Balance $60
[07:38:12] Exp 172: R5 - Bet $10, L, Balance $50
[07:38:25] Exp 173: R1 - Bet $30, L, Balance $70
[07:38:31] Exp 173: R2 - Bet $20, W, Balance $110
[07:38:37] Exp 173: R3 - Bet $20, W, Balance $150
[07:38:44] Exp 173: R4 - Bet $30, W, Balance $210
[07:38:48] Exp 173: R5 - Bet $30, L, Balance $180
[07:38:56] Exp 173: R6 - Bet $30, L, Balance $150
[07:39:01] Exp 173: R7 - Bet $20, L, Balance $130
[07:39:08] Exp 173: R8 - Bet $20, L, Balance $110
[07:39:14] Exp 173: R9 - Bet $10, W, Balance $130
[07:39:20] Exp 173: R10 - Bet $20, L, Balance $110
[07:39:27] Exp 173: R11 - Bet $20, L, Balance $90
[07:39:34] Exp 173: R12 - Bet $10, L, Balance $80
[07:39:40] Exp 173: R13 - Bet $10, W, Balance $100
[07:39:46] Exp 173: R14 - Bet $10, L, Balance $90
[07:39:50] Exp 173: R15 - Bet $20, L, Balance $70
[07:39:57] Exp 173: R16 - Bet $20, L, Balance $50
[07:40:02] Exp 173: R17 - Bet $10, W, Balance $70
[07:40:07] Exp 173: R18 - Bet $10, W, Balance $90
[07:40:11] Exp 173: R19 - Bet $10, W, Balance $110
[07:40:17] Exp 173: R20 - Bet $20, W, Balance $150
[07:40:37] Exp 173: R21 - Bet $20, L, Balance $130
[07:40:41] Exp 173: R22 - Bet $20, L, Balance $110
[07:40:47] Exp 173: R23 - Bet $30, L, Balance $80
[07:40:53] Exp 173: R24 - Bet $20, L, Balance $60
[07:41:01] Exp 173: R25 - Bet $10, L, Balance $50
[07:41:07] Exp 173: R26 - Bet $10, W, Balance $70
[07:41:17] Exp 173: R27 - Bet $20, L, Balance $50
[07:41:25] Exp 173: R28 - Bet $10, L, Balance $40
[07:41:35] Exp 173: R29 - Bet $10, W, Balance $60
[07:41:42] Exp 173: R30 - Bet $20, W, Balance $100
[07:41:47] Exp 173: R31 - Bet $20, L, Balance $80
[07:41:53] Exp 173: R32 - Bet $20, L, Balance $60
[07:42:05] Exp 173: R33 - Bet $10, W, Balance $80
[07:42:11] Exp 173: R34 - Bet $20, L, Balance $60
[07:42:18] Exp 173: R35 - Bet $10, L, Balance $50
[07:42:23] Exp 173: R36 - Bet $10, L, Balance $40
[07:42:30] Exp 173: R37 - Bet $10, W, Balance $60
[07:42:34] Exp 173: R38 - Bet $10, L, Balance $50
[07:42:40] Exp 173: R39 - Bet $20, L, Balance $30
[07:42:47] Exp 173: R40 - Bet $10, L, Balance $20
[07:42:55] Exp 173: R41 - Bet $10, L, Balance $10
[07:43:00] Exp 173: R42 - Bet $5, L, Balance $5
[07:43:07] Exp 173: R43 - Bet $5, L, Balance $0
[07:43:14] Exp 174: R1 - Bet $20, L, Balance $80
[07:43:22] Exp 174: R2 - Bet $20, W, Balance $120
[07:43:28] Exp 174: R3 - Bet $30, L, Balance $90
[07:43:38] Exp 174: R4 - Bet $20, L, Balance $70
[07:43:44] Exp 174: R5 - Bet $20, L, Balance $50
[07:43:55] Exp 174: R6 - Bet $20, L, Balance $30
[07:44:00] Exp 174: R7 - Bet $10, L, Balance $20
[07:44:07] Exp 174: R8 - Bet $10, W, Balance $40
[07:44:13] Exp 174: R9 - Bet $10, L, Balance $30
[07:44:23] Exp 174: R10 - Bet $10, L, Balance $20
[07:44:34] Exp 175: R1 - Bet $25, W, Balance $150
[07:44:41] Exp 175: R2 - Bet $25, L, Balance $125
[07:44:51] Exp 175: R3 - Bet $25, L, Balance $100
[07:44:57] Exp 175: R4 - Bet $15, L, Balance $85
[07:45:03] Exp 175: R5 - Bet $10, W, Balance $105
[07:53:02] Exp 175: R6 - Bet $15, L, Balance $90
[07:53:09] Exp 175: R7 - Bet $15, W, Balance $120
[07:53:15] Exp 175: R8 - Bet $20, W, Balance $160
[07:53:23] Exp 175: R9 - Bet $30, L, Balance $130
[07:53:31] Exp 175: R10 - Bet $25, L, Balance $105
[07:53:38] Exp 175: R11 - Bet $20, L, Balance $85
[07:53:44] Exp 175: R12 - Bet $15, L, Balance $70
[07:53:55] Exp 175: R13 - Bet $20, L, Balance $50
[07:54:00] Exp 175: R14 - Bet $10, L, Balance $40
[07:54:08] Exp 175: R15 - Bet $5, W, Balance $50
[07:54:14] Exp 175: R16 - Bet $10, W, Balance $70
[07:54:22] Exp 175: R17 - Bet $10, L, Balance $60
[07:54:29] Exp 175: R18 - Bet $20, L, Balance $40
[07:54:33] Exp 175: R19 - Bet $10, L, Balance $30
[07:54:38] Exp 175: R20 - Bet $5, W, Balance $40
[07:54:47] Exp 175: R21 - Bet $10, L, Balance $30
[07:54:55] Exp 175: R22 - Bet $5, L, Balance $25
[07:55:01] Exp 175: R23 - Bet $10, L, Balance $15
[07:55:18] Exp 176: R1 - Bet $25, W, Balance $150
[07:55:31] Exp 177: R1 - Bet $20, L, Balance $80
[07:55:39] Exp 177: R2 - Bet $20, L, Balance $60
[07:55:47] Exp 177: R3 - Bet $10, L, Balance $50
[07:56:02] Exp 178: R1 - Bet $20, W, Balance $140
[07:56:08] Exp 178: R2 - Bet $30, W, Balance $200
[07:56:14] Exp 178: R3 - Bet $50, L, Balance $150
[07:56:20] Exp 178: R4 - Bet $30, L, Balance $120
[07:56:25] Exp 178: R5 - Bet $30, L, Balance $90
[07:56:32] Exp 178: R6 - Bet $50, L, Balance $40
[07:56:38] Exp 178: R7 - Bet $10, L, Balance $30
[07:56:42] Exp 178: R8 - Bet $20, W, Balance $70
[07:56:47] Exp 178: R9 - Bet $30, L, Balance $40
[07:56:51] Exp 178: R10 - Bet $20, L, Balance $20
[07:56:57] Exp 178: R11 - Bet $10, L, Balance $10
[07:57:04] Exp 178: R12 - Bet $10, L, Balance $0
[07:57:15] Exp 179: R1 - Bet $50, W, Balance $200
[07:57:24] Exp 179: R2 - Bet $50, L, Balance $150
[07:57:30] Exp 179: R3 - Bet $50, W, Balance $250
[07:57:41] Exp 179: R4 - Bet $30, L, Balance $220
[07:57:48] Exp 179: R5 - Bet $30, W, Balance $280
[07:57:55] Exp 179: R6 - Bet $30, L, Balance $250
[07:58:02] Exp 179: R7 - Bet $30, L, Balance $220
[07:58:13] Exp 179: R8 - Bet $30, L, Balance $190
[07:58:22] Exp 179: R9 - Bet $25, L, Balance $165
[07:58:30] Exp 179: R10 - Bet $20, L, Balance $145
[07:58:38] Exp 179: R11 - Bet $20, W, Balance $185
[07:58:45] Exp 179: R12 - Bet $20, L, Balance $165
[07:58:57] Exp 179: R13 - Bet $20, L, Balance $145
[07:59:03] Exp 179: R14 - Bet $20, L, Balance $125
[07:59:12] Exp 179: R15 - Bet $30, L, Balance $95
[07:59:24] Exp 179: R16 - Bet $15, L, Balance $80
[07:59:29] Exp 179: R17 - Bet $10, L, Balance $70
[07:59:40] Exp 179: R18 - Bet $10, L, Balance $60
[07:59:48] Exp 179: R19 - Bet $20, W, Balance $100
[07:59:55] Exp 179: R20 - Bet $20, L, Balance $80
[08:00:04] Exp 179: R21 - Bet $20, L, Balance $60
[08:00:09] Exp 179: R22 - Bet $20, L, Balance $40
[08:00:19] Exp 179: R23 - Bet $10, W, Balance $60
[08:00:26] Exp 179: R24 - Bet $10, W, Balance $80
[08:00:33] Exp 179: R25 - Bet $20, L, Balance $60
[08:00:40] Exp 179: R26 - Bet $10, L, Balance $50
[08:00:49] Exp 179: R27 - Bet $10, L, Balance $40
[08:00:57] Exp 179: R28 - Bet $10, L, Balance $30
[08:01:06] Exp 179: R29 - Bet $10, L, Balance $20
[08:01:15] Exp 179: R30 - Bet $10, W, Balance $40
[08:01:24] Exp 179: R31 - Bet $10, L, Balance $30
[08:01:31] Exp 179: R32 - Bet $10, L, Balance $20
[08:01:38] Exp 179: R33 - Bet $5, L, Balance $15
[08:01:45] Exp 179: R34 - Bet $5, L, Balance $10
[08:01:51] Exp 179: R35 - Bet $5, L, Balance $5
[08:02:00] Exp 180: R1 - Bet $20, L, Balance $80
[08:02:07] Exp 180: R2 - Bet $20, L, Balance $60
[08:02:13] Exp 180: R3 - Bet $20, L, Balance $40
[08:02:20] Exp 180: R4 - Bet $20, W, Balance $80
[08:02:30] Exp 180: R5 - Bet $30, L, Balance $50
[08:02:35] Exp 180: R6 - Bet $20, L, Balance $30
[08:02:43] Exp 180: R7 - Bet $20, L, Balance $10
[08:02:49] Exp 180: R8 - Bet $10, W, Balance $30
[08:02:55] Exp 180: R9 - Bet $10, L, Balance $20
[08:03:02] Exp 180: R10 - Bet $10, L, Balance $10
[08:03:07] Exp 180: R11 - Bet $5, W, Balance $20
[08:03:14] Exp 180: R12 - Bet $5, L, Balance $15
[08:03:19] Exp 180: R13 - Bet $5, L, Balance $10
[08:03:27] Exp 180: R14 - Bet $5, L, Balance $5
[08:03:40] Exp 181: R1 - Bet $70, W, Balance $240
[08:03:47] Exp 181: R2 - Bet $30, L, Balance $210
[08:03:53] Exp 181: R3 - Bet $30, L, Balance $180
[08:04:00] Exp 181: R4 - Bet $20, W, Balance $220
[08:04:07] Exp 181: R5 - Bet $30, W, Balance $280
[08:04:13] Exp 181: R6 - Bet $30, L, Balance $250
[08:04:20] Exp 181: R7 - Bet $40, L, Balance $210
[08:04:29] Exp 181: R8 - Bet $30, W, Balance $270
[08:04:35] Exp 181: R9 - Bet $30, L, Balance $240
[08:04:43] Exp 181: R10 - Bet $30, L, Balance $210
[08:04:51] Exp 181: R11 - Bet $30, L, Balance $180
[08:04:57] Exp 181: R12 - Bet $20, L, Balance $160
[08:05:05] Exp 181: R13 - Bet $20, L, Balance $140
[08:05:11] Exp 181: R14 - Bet $20, L, Balance $120
[08:05:29] Exp 182: R1 - Bet $30, L, Balance $70
[08:05:34] Exp 182: R2 - Bet $20, L, Balance $50
[08:05:41] Exp 182: R3 - Bet $20, L, Balance $30
[08:05:46] Exp 182: R4 - Bet $15, L, Balance $15
[08:06:03] Exp 183: R1 - Bet $25, W, Balance $150
[08:06:10] Exp 183: R2 - Bet $25, L, Balance $125
[08:06:19] Exp 183: R3 - Bet $25, L, Balance $100
[08:06:25] Exp 183: R4 - Bet $25, L, Balance $75
[08:06:38] Exp 183: R5 - Bet $10, L, Balance $65
[08:06:47] Exp 183: R6 - Bet $10, L, Balance $55
[08:06:59] Exp 184: R1 - Bet $25, L, Balance $75
[08:07:05] Exp 184: R2 - Bet $25, L, Balance $50
[08:07:13] Exp 184: R3 - Bet $20, L, Balance $30
[08:07:26] Exp 185: R1 - Bet $30, L, Balance $70
[08:07:32] Exp 185: R2 - Bet $30, L, Balance $40
[08:07:41] Exp 185: R3 - Bet $10, L, Balance $30
[08:07:47] Exp 185: R4 - Bet $10, L, Balance $20
[08:07:54] Exp 185: R5 - Bet $10, L, Balance $10
[08:08:02] Exp 185: R6 - Bet $10, L, Balance $0
[08:08:08] Exp 186: R1 - Bet $25, L, Balance $75
[08:08:12] Exp 186: R2 - Bet $20, W, Balance $115
[08:08:18] Exp 186: R3 - Bet $30, W, Balance $175
[08:08:23] Exp 186: R4 - Bet $10, L, Balance $165
[08:08:35] Exp 186: R5 - Bet $20, L, Balance $145
[08:08:43] Exp 186: R6 - Bet $30, L, Balance $115
[08:08:49] Exp 186: R7 - Bet $20, W, Balance $155
[08:08:57] Exp 186: R8 - Bet $30, W, Balance $215
[08:09:06] Exp 186: R9 - Bet $30, L, Balance $185
[08:09:13] Exp 186: R10 - Bet $30, W, Balance $245
[08:09:20] Exp 186: R11 - Bet $30, L, Balance $215
[08:09:25] Exp 186: R12 - Bet $30, L, Balance $185
[08:09:33] Exp 186: R13 - Bet $20, L, Balance $165
[08:09:36] Exp 186: R14 - Bet $20, L, Balance $145
[08:09:41] Exp 186: R15 - Bet $20, L, Balance $125
[08:09:50] Exp 187: R1 - Bet $25, W, Balance $150
[08:09:53] Exp 187: R2 - Bet $30, W, Balance $210
[08:09:58] Exp 187: R3 - Bet $30, L, Balance $180
[08:10:05] Exp 187: R4 - Bet $50, L, Balance $130
[08:10:09] Exp 187: R5 - Bet $30, L, Balance $100
[08:10:16] Exp 187: R6 - Bet $25, L, Balance $75
[08:10:21] Exp 187: R7 - Bet $25, W, Balance $125
[08:10:27] Exp 187: R8 - Bet $25, L, Balance $100
[08:10:31] Exp 187: R9 - Bet $25, L, Balance $75
[08:10:37] Exp 187: R10 - Bet $25, W, Balance $125
[08:10:42] Exp 187: R11 - Bet $30, W, Balance $185
[08:10:47] Exp 187: R12 - Bet $30, L, Balance $155
[08:10:53] Exp 187: R13 - Bet $25, W, Balance $205
[08:11:01] Exp 187: R14 - Bet $30, L, Balance $175
[08:11:05] Exp 187: R15 - Bet $30, L, Balance $145
[08:11:11] Exp 187: R16 - Bet $70, L, Balance $75
[08:11:16] Exp 187: R17 - Bet $25, L, Balance $50
[08:11:21] Exp 187: R18 - Bet $10, L, Balance $40
[08:11:26] Exp 187: R19 - Bet $10, L, Balance $30
[08:11:29] Exp 187: R20 - Bet $10, L, Balance $20
[08:11:41] Exp 188: R1 - Bet $25, W, Balance $150
[08:11:46] Exp 188: R2 - Bet $25, L, Balance $125
[08:11:52] Exp 188: R3 - Bet $25, W, Balance $175
[08:11:57] Exp 188: R4 - Bet $25, L, Balance $150
[08:12:03] Exp 188: R5 - Bet $25, L, Balance $125
[08:12:09] Exp 188: R6 - Bet $25, L, Balance $100
[08:12:14] Exp 188: R7 - Bet $25, W, Balance $150
[08:12:17] Exp 188: R8 - Bet $25, W, Balance $200
[08:12:27] Exp 188: R9 - Bet $25, L, Balance $175
[08:12:33] Exp 188: R10 - Bet $25, L, Balance $150
[08:12:40] Exp 188: R11 - Bet $25, L, Balance $125
[08:12:44] Exp 188: R12 - Bet $25, L, Balance $100
[08:12:49] Exp 188: R13 - Bet $10, W, Balance $120
[08:12:55] Exp 188: R14 - Bet $10, W, Balance $140
[08:13:01] Exp 188: R15 - Bet $10, W, Balance $160
[08:13:06] Exp 188: R16 - Bet $20, L, Balance $140
[08:13:13] Exp 188: R17 - Bet $20, L, Balance $120
[08:13:18] Exp 188: R18 - Bet $20, L, Balance $100
[08:13:23] Exp 188: R19 - Bet $10, W, Balance $120
[08:13:27] Exp 188: R20 - Bet $20, W, Balance $160
[08:13:31] Exp 188: R21 - Bet $30, L, Balance $130
[08:13:36] Exp 188: R22 - Bet $30, L, Balance $100
[08:13:43] Exp 188: R23 - Bet $20, L, Balance $80
[08:13:51] Exp 188: R24 - Bet $10, L, Balance $70
[08:13:57] Exp 188: R25 - Bet $10, L, Balance $60
[08:14:02] Exp 188: R26 - Bet $10, L, Balance $50
[08:14:07] Exp 188: R27 - Bet $10, W, Balance $70
[08:14:14] Exp 188: R28 - Bet $10, W, Balance $90
[08:14:18] Exp 188: R29 - Bet $20, W, Balance $130
[08:14:23] Exp 188: R30 - Bet $30, L, Balance $100
[08:14:30] Exp 188: R31 - Bet $30, L, Balance $70
[08:14:36] Exp 188: R32 - Bet $20, L, Balance $50
[08:14:41] Exp 188: R33 - Bet $5, W, Balance $60
[08:14:45] Exp 188: R34 - Bet $20, W, Balance $100
[08:14:51] Exp 188: R35 - Bet $20, W, Balance $140
[08:14:57] Exp 188: R36 - Bet $30, L, Balance $110
[08:15:03] Exp 188: R37 - Bet $20, L, Balance $90
[08:15:08] Exp 188: R38 - Bet $30, L, Balance $60
[08:15:15] Exp 188: R39 - Bet $20, W, Balance $100
[08:15:20] Exp 188: R40 - Bet $20, L, Balance $80
[08:15:27] Exp 188: R41 - Bet $20, W, Balance $120
[08:15:31] Exp 188: R42 - Bet $20, W, Balance $160
[08:15:37] Exp 188: R43 - Bet $30, L, Balance $130
[08:15:42] Exp 188: R44 - Bet $20, W, Balance $170
[08:15:46] Exp 188: R45 - Bet $30, W, Balance $230
[08:15:50] Exp 188: R46 - Bet $50, L, Balance $180
[08:15:58] Exp 188: R47 - Bet $30, W, Balance $240
[08:16:04] Exp 188: R48 - Bet $50, L, Balance $190
[08:16:09] Exp 188: R49 - Bet $30, L, Balance $160
[08:16:14] Exp 188: R50 - Bet $30, L, Balance $130
[08:16:19] Exp 189: R1 - Bet $25, L, Balance $75
[08:16:31] Exp 189: R2 - Bet $20, L, Balance $55
[08:16:35] Exp 189: R3 - Bet $20, L, Balance $35
[08:16:40] Exp 189: R4 - Bet $10, L, Balance $25
