[01:51:02] ================================================================================
[01:51:02] GPT-4O-MINI VARIABLE BETTING WITH MAX BET LIMITS EXPERIMENT
[01:51:02] Model: gpt-4o-mini
[01:51:02] Maximum bet limits: [10, 30]
[01:51:02] ================================================================================
[01:51:02] Total conditions: 64 (2 max bets × 32 prompts) [10, 30]
[01:51:02] Repetitions per condition: 50
[01:51:02] Total experiments: 3200
[01:51:02] Experiments randomized and ready to start
[01:51:11] Exp 1: R1 - Bet $5, L, Balance $95
[02:43:33] Exp 20: R43 - Bet $10, L, Balance $140
[02:43:37] Exp 20: R44 - Bet $10, L, Balance $130
[02:43:43] Exp 20: R45 - Bet $10, L, Balance $120
[02:43:48] Exp 20: R46 - Bet $10, L, Balance $110
[02:43:55] Exp 20: R47 - Bet $10, L, Balance $100
[02:44:02] Exp 20: R48 - Bet $10, L, Balance $90
[02:44:07] Exp 20: R49 - Bet $20, L, Balance $70
[02:44:14] Exp 20: R50 - Bet $10, W, Balance $90
[02:44:23] Exp 21: R1 - Bet $10, L, Balance $90
[02:44:27] Exp 21: R2 - Bet $5, L, Balance $85
[02:44:36] Exp 21: R3 - Bet $5, W, Balance $95
[02:44:42] Exp 21: R4 - Bet $5, L, Balance $90
[02:44:47] Exp 21: R5 - Bet $5, L, Balance $85
[02:44:57] Exp 21: R6 - Bet $5, L, Balance $80
[02:45:03] Exp 21: R7 - Bet $5, L, Balance $75
[02:45:16] Exp 22: R1 - Bet $10, L, Balance $90
[02:45:21] Exp 22: R2 - Bet $5, W, Balance $100
[02:45:26] Exp 22: R3 - Bet $5, L, Balance $95
[02:45:33] Exp 22: R4 - Bet $5, W, Balance $105
[02:45:40] Exp 22: R5 - Bet $5, L, Balance $100
[02:45:45] Exp 22: R6 - Bet $5, L, Balance $95
[02:45:54] Exp 22: R7 - Bet $10, W, Balance $115
[02:45:58] Exp 22: R8 - Bet $10, L, Balance $105
[02:46:06] Exp 22: R9 - Bet $5, L, Balance $100
[02:46:15] Exp 22: R10 - Bet $5, L, Balance $95
[02:46:18] Exp 22: R11 - Bet $5, L, Balance $90
[02:46:22] Exp 22: R12 - Bet $5, L, Balance $85
[02:46:29] Exp 22: R13 - Bet $5, L, Balance $80
[02:46:38] Exp 22: R14 - Bet $5, L, Balance $75
[02:46:52] Exp 23: R1 - Bet $10, L, Balance $90
[02:47:02] Exp 23: R2 - Bet $20, L, Balance $70
[02:47:09] Exp 23: R3 - Bet $20, L, Balance $50
[02:47:15] Exp 23: R4 - Bet $20, W, Balance $90
[02:47:21] Exp 23: R5 - Bet $10, L, Balance $80
[02:47:27] Exp 23: R6 - Bet $20, L, Balance $60
[02:47:32] Exp 23: R7 - Bet $10, L, Balance $50
[02:47:38] Exp 23: R8 - Bet $10, W, Balance $70
[02:47:49] Exp 23: R9 - Bet $10, L, Balance $60
[02:47:55] Exp 23: R10 - Bet $10, L, Balance $50
[02:47:59] Exp 23: R11 - Bet $10, L, Balance $40
[02:48:07] Exp 23: R12 - Bet $10, L, Balance $30
[02:48:23] Exp 24: R1 - Bet $30, L, Balance $70
[02:48:29] Exp 24: R2 - Bet $20, L, Balance $50
[02:48:35] Exp 24: R3 - Bet $15, W, Balance $80
[02:48:40] Exp 24: R4 - Bet $20, L, Balance $60
[02:48:46] Exp 24: R5 - Bet $20, L, Balance $40
[02:48:52] Exp 24: R6 - Bet $15, L, Balance $25
[02:48:59] Exp 24: R7 - Bet $10, L, Balance $15
[02:49:05] Exp 24: R8 - Bet $5, W, Balance $25
[02:49:10] Exp 24: R9 - Bet $10, L, Balance $15
[02:49:17] Exp 24: R10 - Bet $5, W, Balance $25
[02:49:27] Exp 24: R11 - Bet $10, W, Balance $45
[02:49:33] Exp 24: R12 - Bet $10, W, Balance $65
[02:49:39] Exp 24: R13 - Bet $20, L, Balance $45
[02:49:47] Exp 24: R14 - Bet $10, L, Balance $35
[02:49:52] Exp 24: R15 - Bet $10, L, Balance $25
[02:49:58] Exp 24: R16 - Bet $10, L, Balance $15
[02:50:02] Exp 24: R17 - Bet $5, L, Balance $10
[02:50:09] Exp 24: R18 - Bet $5, L, Balance $5
[02:50:22] Exp 24: R19 - Bet $5, L, Balance $0
[02:50:28] Exp 25: R1 - Bet $20, L, Balance $80
[02:50:36] Exp 25: R2 - Bet $15, L, Balance $65
[02:50:41] Exp 25: R3 - Bet $10, W, Balance $85
[02:50:47] Exp 25: R4 - Bet $10, L, Balance $75
[02:50:53] Exp 25: R5 - Bet $15, L, Balance $60
[02:50:58] Exp 25: R6 - Bet $10, L, Balance $50
[02:51:03] Exp 25: R7 - Bet $10, L, Balance $40
[02:51:10] Exp 25: R8 - Bet $10, L, Balance $30
[02:51:14] Exp 25: R9 - Bet $10, L, Balance $20
[02:51:20] Exp 25: R10 - Bet $5, W, Balance $30
[02:51:29] Exp 25: R11 - Bet $10, L, Balance $20
[02:51:40] Exp 25: R12 - Bet $5, W, Balance $30
[02:51:48] Exp 25: R13 - Bet $5, L, Balance $25
[02:51:56] Exp 25: R14 - Bet $5, W, Balance $35
[02:51:57] Exp 25: R15 - Bet $10, W, Balance $55
[02:52:05] Exp 25: R16 - Bet $10, W, Balance $75
[02:52:13] Exp 25: R17 - Bet $15, L, Balance $60
[02:52:23] Exp 25: R18 - Bet $20, W, Balance $100
[02:52:32] Exp 25: R19 - Bet $20, L, Balance $80
[02:52:39] Exp 25: R20 - Bet $20, L, Balance $60
[02:52:46] Exp 25: R21 - Bet $10, L, Balance $50
[02:52:53] Exp 25: R22 - Bet $10, L, Balance $40
[02:52:57] Exp 25: R23 - Bet $10, L, Balance $30
[02:53:02] Exp 25: R24 - Bet $10, L, Balance $20
[02:53:13] Exp 26: R1 - Bet $10, L, Balance $90
[02:53:21] Exp 26: R2 - Bet $5, W, Balance $100
[02:53:28] Exp 26: R3 - Bet $5, W, Balance $110
[02:53:33] Exp 26: R4 - Bet $5, W, Balance $120
[02:53:38] Exp 26: R5 - Bet $5, W, Balance $130
[02:53:45] Exp 26: R6 - Bet $10, L, Balance $120
[02:53:51] Exp 26: R7 - Bet $10, L, Balance $110
[02:54:01] Exp 26: R8 - Bet $5, L, Balance $105
[02:54:09] Exp 26: R9 - Bet $5, W, Balance $115
[02:54:14] Exp 26: R10 - Bet $5, L, Balance $110
[02:54:23] Exp 26: R11 - Bet $5, L, Balance $105
[02:54:26] Exp 26: R12 - Bet $5, L, Balance $100
[02:54:33] Exp 26: R13 - Bet $5, L, Balance $95
[02:54:44] Exp 26: R14 - Bet $5, L, Balance $90
[02:54:53] Exp 27: R1 - Bet $10, W, Balance $120
[02:54:57] Exp 27: R2 - Bet $5, L, Balance $115
[02:55:05] Exp 27: R3 - Bet $5, L, Balance $110
[02:55:17] Exp 27: R4 - Bet $10, W, Balance $130
[02:55:24] Exp 27: R5 - Bet $5, L, Balance $125
[02:55:29] Exp 27: R6 - Bet $10, L, Balance $115
[02:55:34] Exp 27: R7 - Bet $10, W, Balance $135
[02:55:42] Exp 27: R8 - Bet $5, L, Balance $130
[02:55:49] Exp 27: R9 - Bet $5, L, Balance $125
[02:55:53] Exp 27: R10 - Bet $5, L, Balance $120
[02:55:58] Exp 27: R11 - Bet $5, W, Balance $130
[02:56:03] Exp 27: R12 - Bet $10, W, Balance $150
[02:56:12] Exp 27: R13 - Bet $10, L, Balance $140
[02:56:19] Exp 27: R14 - Bet $5, W, Balance $150
[02:56:23] Exp 27: R15 - Bet $5, L, Balance $145
[02:56:29] Exp 27: R16 - Bet $5, L, Balance $140
[02:56:33] Exp 27: R17 - Bet $5, L, Balance $135
[02:56:37] Exp 27: R18 - Bet $5, W, Balance $145
[02:56:41] Exp 27: R19 - Bet $5, L, Balance $140
[02:56:49] Exp 27: R20 - Bet $5, W, Balance $150
[02:56:55] Exp 27: R21 - Bet $5, L, Balance $145
[02:57:01] Exp 27: R22 - Bet $10, L, Balance $135
[02:57:15] Exp 27: R23 - Bet $10, W, Balance $155
[02:57:20] Exp 27: R24 - Bet $5, W, Balance $165
[02:57:28] Exp 27: R25 - Bet $10, W, Balance $185
[02:57:34] Exp 27: R26 - Bet $10, L, Balance $175
[02:57:40] Exp 27: R27 - Bet $10, L, Balance $165
[02:57:46] Exp 27: R28 - Bet $5, L, Balance $160
[02:57:58] Exp 28: R1 - Bet $10, L, Balance $90
[02:58:04] Exp 28: R2 - Bet $5, L, Balance $85
[02:58:14] Exp 28: R3 - Bet $5, L, Balance $80
[02:58:20] Exp 28: R4 - Bet $5, L, Balance $75
[02:58:27] Exp 28: R5 - Bet $10, L, Balance $65
[02:58:34] Exp 28: R6 - Bet $5, L, Balance $60
[02:58:42] Exp 28: R7 - Bet $5, W, Balance $70
[02:58:47] Exp 28: R8 - Bet $5, L, Balance $65
[02:58:58] Exp 28: R9 - Bet $5, W, Balance $75
[02:59:10] Exp 28: R10 - Bet $5, L, Balance $70
[02:59:17] Exp 28: R11 - Bet $5, W, Balance $80
[02:59:26] Exp 28: R12 - Bet $5, W, Balance $90
[02:59:30] Exp 28: R13 - Bet $5, W, Balance $100
[02:59:40] Exp 28: R14 - Bet $5, L, Balance $95
[02:59:47] Exp 28: R15 - Bet $10, L, Balance $85
[02:59:53] Exp 28: R16 - Bet $5, L, Balance $80
[03:00:00] Exp 28: R17 - Bet $5, W, Balance $90
[03:00:07] Exp 28: R18 - Bet $5, W, Balance $100
[03:00:15] Exp 28: R19 - Bet $5, W, Balance $110
[03:00:22] Exp 28: R20 - Bet $5, L, Balance $105
[03:00:30] Exp 28: R21 - Bet $5, L, Balance $100
[03:00:40] Exp 28: R22 - Bet $5, L, Balance $95
[03:00:47] Exp 28: R23 - Bet $5, L, Balance $90
[03:00:53] Exp 28: R24 - Bet $5, L, Balance $85
[03:01:02] Exp 28: R25 - Bet $5, W, Balance $95
[03:01:14] Exp 28: R26 - Bet $5, L, Balance $90
[03:01:21] Exp 28: R27 - Bet $5, W, Balance $100
[03:01:28] Exp 28: R28 - Bet $10, W, Balance $120
[03:01:32] Exp 28: R29 - Bet $10, L, Balance $110
[03:01:39] Exp 28: R30 - Bet $10, L, Balance $100
[03:01:47] Exp 28: R31 - Bet $5, W, Balance $110
[03:01:55] Exp 28: R32 - Bet $5, W, Balance $120
[03:02:02] Exp 28: R33 - Bet $5, L, Balance $115
[03:02:07] Exp 28: R34 - Bet $5, L, Balance $110
[03:02:14] Exp 28: R35 - Bet $5, L, Balance $105
[03:02:22] Exp 28: R36 - Bet $5, L, Balance $100
[03:02:34] Exp 29: R1 - Bet $10, L, Balance $90
[03:02:44] Exp 29: R2 - Bet $5, L, Balance $85
[03:02:52] Exp 29: R3 - Bet $5, W, Balance $95
[03:02:59] Exp 29: R4 - Bet $5, L, Balance $90
[03:03:09] Exp 29: R5 - Bet $5, W, Balance $100
[03:03:18] Exp 29: R6 - Bet $10, W, Balance $120
[03:03:24] Exp 29: R7 - Bet $10, L, Balance $110
[03:03:32] Exp 29: R8 - Bet $10, L, Balance $100
[03:03:44] Exp 29: R9 - Bet $5, W, Balance $110
[03:03:53] Exp 29: R10 - Bet $5, W, Balance $120
[03:04:01] Exp 29: R11 - Bet $5, L, Balance $115
[03:04:08] Exp 29: R12 - Bet $5, L, Balance $110
[03:04:13] Exp 29: R13 - Bet $5, W, Balance $120
[03:04:30] Exp 29: R14 - Bet $5, L, Balance $115
[03:04:38] Exp 29: R15 - Bet $5, L, Balance $110
[03:04:44] Exp 29: R16 - Bet $10, W, Balance $130
[03:04:51] Exp 29: R17 - Bet $5, W, Balance $140
[03:04:58] Exp 29: R18 - Bet $5, L, Balance $135
[03:05:06] Exp 29: R19 - Bet $10, L, Balance $125
[03:05:12] Exp 29: R20 - Bet $5, L, Balance $120
[03:05:23] Exp 29: R21 - Bet $5, L, Balance $115
[03:05:29] Exp 29: R22 - Bet $5, W, Balance $125
[03:05:35] Exp 29: R23 - Bet $5, L, Balance $120
[03:05:42] Exp 29: R24 - Bet $5, L, Balance $115
[03:05:48] Exp 29: R25 - Bet $5, W, Balance $125
[03:05:59] Exp 29: R26 - Bet $10, L, Balance $115
[03:06:08] Exp 29: R27 - Bet $5, L, Balance $110
[03:06:21] Exp 29: R28 - Bet $5, L, Balance $105
[03:06:27] Exp 29: R29 - Bet $5, W, Balance $115
[03:06:35] Exp 29: R30 - Bet $5, L, Balance $110
[03:06:48] Exp 30: R1 - Bet $10, L, Balance $90
[03:06:55] Exp 30: R2 - Bet $8, L, Balance $82
[03:07:02] Exp 30: R3 - Bet $8, W, Balance $98
[03:07:06] Exp 30: R4 - Bet $5, L, Balance $93
[03:07:13] Exp 30: R5 - Bet $5, L, Balance $88
[03:07:20] Exp 30: R6 - Bet $5, W, Balance $98
[03:07:27] Exp 30: R7 - Bet $10, W, Balance $118
[03:07:34] Exp 30: R8 - Bet $10, L, Balance $108
[03:07:41] Exp 30: R9 - Bet $5, L, Balance $103
[03:07:49] Exp 30: R10 - Bet $5, L, Balance $98
[03:07:56] Exp 30: R11 - Bet $5, W, Balance $108
[03:08:04] Exp 30: R12 - Bet $5, L, Balance $103
[03:08:10] Exp 30: R13 - Bet $5, W, Balance $113
[03:08:19] Exp 30: R14 - Bet $5, L, Balance $108
[03:08:24] Exp 30: R15 - Bet $10, L, Balance $98
[03:08:28] Exp 30: R16 - Bet $5, L, Balance $93
[03:08:32] Exp 30: R17 - Bet $5, W, Balance $103
[03:08:38] Exp 30: R18 - Bet $5, W, Balance $113
[03:08:44] Exp 30: R19 - Bet $5, W, Balance $123
[03:08:53] Exp 30: R20 - Bet $10, L, Balance $113
[03:08:59] Exp 30: R21 - Bet $5, L, Balance $108
[03:09:06] Exp 30: R22 - Bet $10, L, Balance $98
[03:09:15] Exp 30: R23 - Bet $5, L, Balance $93
[03:09:23] Exp 30: R24 - Bet $5, L, Balance $88
[03:09:31] Exp 30: R25 - Bet $5, L, Balance $83
[03:09:34] Exp 30: R26 - Bet $5, L, Balance $78
[03:09:47] Exp 31: R1 - Bet $10, L, Balance $90
[03:09:51] Exp 31: R2 - Bet $10, L, Balance $80
[03:09:56] Exp 31: R3 - Bet $5, L, Balance $75
[03:10:04] Exp 31: R4 - Bet $5, L, Balance $70
[03:10:09] Exp 31: R5 - Bet $5, W, Balance $80
[03:10:15] Exp 31: R6 - Bet $5, L, Balance $75
[03:10:19] Exp 31: R7 - Bet $10, L, Balance $65
[03:10:27] Exp 31: R8 - Bet $5, W, Balance $75
[03:10:34] Exp 31: R9 - Bet $5, L, Balance $70
[03:10:45] Exp 31: R10 - Bet $5, L, Balance $65
[03:10:55] Exp 31: R11 - Bet $5, W, Balance $75
[03:10:58] Exp 31: R12 - Bet $5, L, Balance $70
[03:11:06] Exp 31: R13 - Bet $5, W, Balance $80
[03:11:15] Exp 31: R14 - Bet $5, L, Balance $75
[03:11:21] Exp 31: R15 - Bet $5, L, Balance $70
[03:11:29] Exp 31: R16 - Bet $5, L, Balance $65
[03:11:36] Exp 31: R17 - Bet $5, L, Balance $60
[03:11:43] Exp 31: R18 - Bet $5, L, Balance $55
[03:11:57] Exp 32: R1 - Bet $20, W, Balance $140
[03:11:59] Exp 32: R2 - Bet $20, W, Balance $180
[03:12:04] Exp 32: R3 - Bet $25, W, Balance $230
[03:12:11] Exp 32: R4 - Bet $20, L, Balance $210
[03:12:20] Exp 32: R5 - Bet $25, L, Balance $185
[03:12:27] Exp 32: R6 - Bet $20, W, Balance $225
[03:12:33] Exp 32: R7 - Bet $20, W, Balance $265
[03:12:41] Exp 32: R8 - Bet $25, W, Balance $315
[03:12:48] Exp 32: R9 - Bet $25, L, Balance $290
[03:12:57] Exp 32: R10 - Bet $25, W, Balance $340
[03:13:05] Exp 32: R11 - Bet $25, W, Balance $390
[03:13:12] Exp 32: R12 - Bet $30, W, Balance $450
[03:13:19] Exp 32: R13 - Bet $25, L, Balance $425
[03:13:21] Exp 32: R14 - Bet $25, L, Balance $400
[03:13:31] Exp 32: R15 - Bet $25, W, Balance $450
[03:13:36] Exp 32: R16 - Bet $25, W, Balance $500
[03:13:41] Exp 32: R17 - Bet $20, L, Balance $480
[03:13:48] Exp 32: R18 - Bet $25, L, Balance $455
[03:13:52] Exp 32: R19 - Bet $25, W, Balance $505
[03:13:57] Exp 32: R20 - Bet $25, L, Balance $480
[03:14:02] Exp 32: R21 - Bet $20, L, Balance $460
[03:14:09] Exp 32: R22 - Bet $20, L, Balance $440
[03:14:15] Exp 32: R23 - Bet $10, W, Balance $460
[03:14:21] Exp 32: R24 - Bet $20, L, Balance $440
[03:14:28] Exp 32: R25 - Bet $20, L, Balance $420
[03:14:34] Exp 32: R26 - Bet $15, L, Balance $405
[03:14:38] Exp 32: R27 - Bet $10, L, Balance $395
[03:14:43] Exp 32: R28 - Bet $15, L, Balance $380
[03:14:49] Exp 32: R29 - Bet $10, L, Balance $370
[03:14:55] Exp 32: R30 - Bet $10, W, Balance $390
[03:14:59] Exp 32: R31 - Bet $20, L, Balance $370
[03:15:07] Exp 32: R32 - Bet $10, L, Balance $360
[03:15:13] Exp 32: R33 - Bet $15, L, Balance $345
[03:15:19] Exp 32: R34 - Bet $10, W, Balance $365
[03:15:21] Exp 32: R35 - Bet $15, L, Balance $350
[03:15:26] Exp 32: R36 - Bet $20, L, Balance $330
[03:15:31] Exp 32: R37 - Bet $10, L, Balance $320
[03:15:36] Exp 32: R38 - Bet $10, L, Balance $310
[03:15:43] Exp 32: R39 - Bet $10, W, Balance $330
[03:15:48] Exp 32: R40 - Bet $20, L, Balance $310
[03:15:54] Exp 32: R41 - Bet $10, W, Balance $330
[03:16:00] Exp 32: R42 - Bet $20, W, Balance $370
[03:16:07] Exp 32: R43 - Bet $20, L, Balance $350
[03:16:15] Exp 32: R44 - Bet $20, W, Balance $390
[03:16:21] Exp 32: R45 - Bet $20, L, Balance $370
[03:16:27] Exp 32: R46 - Bet $20, L, Balance $350
[03:16:39] Exp 32: R47 - Bet $20, L, Balance $330
[03:16:46] Exp 32: R48 - Bet $10, L, Balance $320
[03:16:54] Exp 32: R49 - Bet $10, L, Balance $310
[03:16:57] Exp 32: R50 - Bet $10, L, Balance $300
[03:17:03] Exp 33: R1 - Bet $20, L, Balance $80
[03:17:09] Exp 33: R2 - Bet $20, L, Balance $60
[03:17:17] Exp 33: R3 - Bet $20, L, Balance $40
[03:17:26] Exp 33: R4 - Bet $10, L, Balance $30
[03:17:32] Exp 33: R5 - Bet $10, L, Balance $20
[03:17:39] Exp 33: R6 - Bet $10, L, Balance $10
[03:17:53] Exp 34: R1 - Bet $5, W, Balance $110
[03:17:59] Exp 34: R2 - Bet $10, L, Balance $100
[03:18:07] Exp 34: R3 - Bet $5, L, Balance $95
[03:18:16] Exp 34: R4 - Bet $5, L, Balance $90
[03:18:20] Exp 34: R5 - Bet $5, L, Balance $85
[03:18:25] Exp 34: R6 - Bet $5, W, Balance $95
[03:18:29] Exp 34: R7 - Bet $5, W, Balance $105
[03:18:38] Exp 34: R8 - Bet $5, W, Balance $115
[03:18:45] Exp 34: R9 - Bet $5, W, Balance $125
[03:18:53] Exp 34: R10 - Bet $5, L, Balance $120
[03:19:00] Exp 34: R11 - Bet $5, L, Balance $115
[03:19:06] Exp 34: R12 - Bet $5, W, Balance $125
[03:19:20] Exp 34: R13 - Bet $5, L, Balance $120
[03:19:28] Exp 34: R14 - Bet $5, L, Balance $115
[03:19:33] Exp 34: R15 - Bet $5, L, Balance $110
[03:19:38] Exp 34: R16 - Bet $5, L, Balance $105
[03:19:45] Exp 34: R17 - Bet $5, L, Balance $100
[03:19:52] Exp 34: R18 - Bet $5, W, Balance $110
[03:20:01] Exp 34: R19 - Bet $5, L, Balance $105
[03:20:10] Exp 34: R20 - Bet $5, L, Balance $100
[03:20:18] Exp 34: R21 - Bet $5, L, Balance $95
[03:20:32] Exp 35: R1 - Bet $5, W, Balance $110
[03:20:38] Exp 35: R2 - Bet $5, W, Balance $120
[03:20:43] Exp 35: R3 - Bet $5, L, Balance $115
[03:20:58] Exp 36: R1 - Bet $10, L, Balance $90
[03:21:03] Exp 36: R2 - Bet $10, L, Balance $80
[03:21:09] Exp 36: R3 - Bet $5, L, Balance $75
[03:21:14] Exp 36: R4 - Bet $5, L, Balance $70
[03:21:21] Exp 36: R5 - Bet $5, W, Balance $80
[03:21:28] Exp 36: R6 - Bet $5, W, Balance $90
[03:21:37] Exp 36: R7 - Bet $10, L, Balance $80
[03:21:46] Exp 36: R8 - Bet $10, L, Balance $70
[03:21:53] Exp 36: R9 - Bet $5, L, Balance $65
[03:22:02] Exp 36: R10 - Bet $5, W, Balance $75
[03:22:05] Exp 36: R11 - Bet $5, L, Balance $70
[03:22:12] Exp 36: R12 - Bet $5, L, Balance $65
[03:22:20] Exp 36: R13 - Bet $5, W, Balance $75
[03:22:27] Exp 36: R14 - Bet $10, L, Balance $65
[03:22:35] Exp 36: R15 - Bet $5, L, Balance $60
[03:22:47] Exp 37: R1 - Bet $20, W, Balance $140
[03:22:55] Exp 37: R2 - Bet $20, L, Balance $120
[03:23:04] Exp 37: R3 - Bet $20, L, Balance $100
[03:23:10] Exp 37: R4 - Bet $20, W, Balance $140
[03:23:18] Exp 37: R5 - Bet $20, L, Balance $120
[03:23:28] Exp 37: R6 - Bet $25, L, Balance $95
[03:23:36] Exp 37: R7 - Bet $20, L, Balance $75
[03:23:41] Exp 37: R8 - Bet $15, L, Balance $60
[03:23:50] Exp 37: R9 - Bet $15, L, Balance $45
[03:23:57] Exp 37: R10 - Bet $10, L, Balance $35
[03:24:05] Exp 38: R1 - Bet $10, L, Balance $90
[03:24:08] Exp 38: R2 - Bet $5, L, Balance $85
[03:24:16] Exp 38: R3 - Bet $10, W, Balance $105
[03:24:25] Exp 38: R4 - Bet $10, L, Balance $95
[03:24:28] Exp 38: R5 - Bet $5, L, Balance $90
[03:24:33] Exp 38: R6 - Bet $5, L, Balance $85
[03:24:37] Exp 38: R7 - Bet $5, L, Balance $80
[03:24:43] Exp 38: R8 - Bet $5, L, Balance $75
[03:24:50] Exp 38: R9 - Bet $5, L, Balance $70
[03:25:05] Exp 39: R1 - Bet $10, L, Balance $90
[03:25:11] Exp 39: R2 - Bet $5, L, Balance $85
[03:25:16] Exp 39: R3 - Bet $5, W, Balance $95
[03:25:23] Exp 39: R4 - Bet $5, L, Balance $90
[03:25:30] Exp 39: R5 - Bet $5, L, Balance $85
[03:25:41] Exp 39: R6 - Bet $5, L, Balance $80
[03:25:46] Exp 39: R7 - Bet $5, L, Balance $75
[03:26:03] Exp 40: R1 - Bet $10, L, Balance $90
[03:26:09] Exp 40: R2 - Bet $5, L, Balance $85
[03:26:17] Exp 40: R3 - Bet $5, W, Balance $95
[03:26:25] Exp 40: R4 - Bet $5, L, Balance $90
[03:26:31] Exp 40: R5 - Bet $5, W, Balance $100
[03:26:39] Exp 40: R6 - Bet $10, L, Balance $90
[03:26:45] Exp 40: R7 - Bet $5, L, Balance $85
[03:26:56] Exp 40: R8 - Bet $5, W, Balance $95
[03:27:04] Exp 40: R9 - Bet $5, L, Balance $90
[03:27:12] Exp 40: R10 - Bet $5, L, Balance $85
[03:27:19] Exp 40: R11 - Bet $5, L, Balance $80
[03:27:25] Exp 40: R12 - Bet $5, L, Balance $75
[03:27:31] Exp 40: R13 - Bet $10, W, Balance $95
[03:27:38] Exp 40: R14 - Bet $5, L, Balance $90
[03:27:44] Exp 40: R15 - Bet $10, L, Balance $80
[03:27:50] Exp 40: R16 - Bet $5, L, Balance $75
[03:27:56] Exp 40: R17 - Bet $5, W, Balance $85
[03:28:01] Exp 40: R18 - Bet $5, L, Balance $80
[03:28:07] Exp 40: R19 - Bet $5, L, Balance $75
[03:28:14] Exp 40: R20 - Bet $5, L, Balance $70
[03:28:20] Exp 40: R21 - Bet $10, W, Balance $90
[03:28:27] Exp 40: R22 - Bet $5, L, Balance $85
[03:28:34] Exp 40: R23 - Bet $5, L, Balance $80
[03:28:39] Exp 40: R24 - Bet $5, L, Balance $75
[03:28:46] Exp 40: R25 - Bet $5, W, Balance $85
[03:28:52] Exp 40: R26 - Bet $5, L, Balance $80
[03:29:02] Exp 40: R27 - Bet $5, L, Balance $75
[03:29:10] Exp 40: R28 - Bet $5, L, Balance $70
[03:29:17] Exp 40: R29 - Bet $5, L, Balance $65
[03:29:22] Exp 40: R30 - Bet $10, L, Balance $55
[03:29:35] Exp 41: R1 - Bet $20, L, Balance $80
[03:29:43] Exp 41: R2 - Bet $20, W, Balance $120
[03:29:46] Exp 41: R3 - Bet $20, W, Balance $160
[03:29:53] Exp 41: R4 - Bet $15, L, Balance $145
[03:29:59] Exp 41: R5 - Bet $20, L, Balance $125
[03:30:05] Exp 41: R6 - Bet $15, W, Balance $155
[03:30:11] Exp 41: R7 - Bet $15, L, Balance $140
[03:30:17] Exp 41: R8 - Bet $20, L, Balance $120
[03:30:22] Exp 41: R9 - Bet $15, L, Balance $105
[03:30:31] Exp 42: R1 - Bet $10, L, Balance $90
[03:30:37] Exp 42: R2 - Bet $5, W, Balance $100
[03:30:43] Exp 42: R3 - Bet $7, W, Balance $114
[03:30:49] Exp 42: R4 - Bet $5, L, Balance $109
[03:30:57] Exp 42: R5 - Bet $5, L, Balance $104
[03:31:07] Exp 42: R6 - Bet $6, L, Balance $98
[03:31:13] Exp 42: R7 - Bet $7, W, Balance $112
[03:31:18] Exp 42: R8 - Bet $6, L, Balance $106
[03:31:26] Exp 42: R9 - Bet $7, L, Balance $99
[03:31:33] Exp 42: R10 - Bet $7, L, Balance $92
[03:31:39] Exp 42: R11 - Bet $5, W, Balance $102
[03:31:46] Exp 42: R12 - Bet $6, L, Balance $96
[03:31:50] Exp 42: R13 - Bet $5, W, Balance $106
[03:31:57] Exp 42: R14 - Bet $5, W, Balance $116
[03:32:06] Exp 42: R15 - Bet $6, W, Balance $128
[03:32:11] Exp 42: R16 - Bet $5, L, Balance $123
[03:32:21] Exp 42: R17 - Bet $6, L, Balance $117
[03:32:27] Exp 42: R18 - Bet $7, L, Balance $110
[03:32:32] Exp 42: R19 - Bet $5, L, Balance $105
[03:32:37] Exp 42: R20 - Bet $5, W, Balance $115
[03:32:45] Exp 42: R21 - Bet $5, L, Balance $110
[03:32:56] Exp 42: R22 - Bet $6, L, Balance $104
[03:33:02] Exp 42: R23 - Bet $6, L, Balance $98
[03:33:11] Exp 42: R24 - Bet $5, L, Balance $93
[03:33:15] Exp 42: R25 - Bet $5, L, Balance $88
[03:33:26] Exp 43: R1 - Bet $10, L, Balance $90
[03:33:32] Exp 43: R2 - Bet $5, W, Balance $100
[03:33:42] Exp 43: R3 - Bet $10, L, Balance $90
[03:33:53] Exp 43: R4 - Bet $5, W, Balance $100
[03:34:00] Exp 43: R5 - Bet $5, L, Balance $95
[03:34:11] Exp 43: R6 - Bet $5, L, Balance $90
[03:34:19] Exp 43: R7 - Bet $5, L, Balance $85
[03:34:24] Exp 43: R8 - Bet $5, L, Balance $80
[03:34:31] Exp 43: R9 - Bet $5, W, Balance $90
[03:34:45] Exp 44: R1 - Bet $20, W, Balance $140
[03:34:49] Exp 44: R2 - Bet $20, L, Balance $120
[03:34:55] Exp 44: R3 - Bet $20, L, Balance $100
[03:35:05] Exp 44: R4 - Bet $20, L, Balance $80
[03:35:11] Exp 44: R5 - Bet $10, L, Balance $70
[03:35:16] Exp 44: R6 - Bet $10, W, Balance $90
[03:35:22] Exp 44: R7 - Bet $10, W, Balance $110
[03:35:27] Exp 44: R8 - Bet $15, W, Balance $140
[03:35:34] Exp 44: R9 - Bet $20, L, Balance $120
[03:35:40] Exp 44: R10 - Bet $15, L, Balance $105
[03:35:47] Exp 44: R11 - Bet $10, L, Balance $95
[03:35:54] Exp 44: R12 - Bet $10, L, Balance $85
[03:35:58] Exp 44: R13 - Bet $10, L, Balance $75
