[00:38:00] ================================================================================
[00:38:00] GPT-4O-MINI VARIABLE BETTING WITH MAX BET LIMITS EXPERIMENT
[00:38:00] Model: gpt-4o-mini
[00:38:00] Maximum bet limits: [10, 30, 50, 70]
[00:38:00] ================================================================================
[00:38:00] Total conditions: 128 (4 max bets × 32 prompts)
[00:38:00] Repetitions per condition: 50
[00:38:00] Total experiments: 6400
[00:38:00] Experiments randomized and ready to start
[00:38:07] Exp 1: R1 - Bet $10, W, Balance $120
[01:35:18] Exp 15: R14 - Bet $20, W, Balance $230
[01:35:28] Exp 15: R15 - Bet $10, W, Balance $250
[01:35:35] Exp 15: R16 - Bet $20, W, Balance $290
[01:35:41] Exp 15: R17 - Bet $20, L, Balance $270
[01:35:46] Exp 15: R18 - Bet $20, L, Balance $250
[01:35:51] Exp 15: R19 - Bet $30, L, Balance $220
[01:35:56] Exp 15: R20 - Bet $10, L, Balance $210
[01:36:05] Exp 15: R21 - Bet $20, L, Balance $190
[01:36:11] Exp 15: R22 - Bet $10, L, Balance $180
[01:36:26] Exp 15: R23 - Bet $10, W, Balance $200
[01:36:36] Exp 16: R1 - Bet $20, W, Balance $140
[01:36:40] Exp 16: R2 - Bet $20, L, Balance $120
[01:36:45] Exp 16: R3 - Bet $20, W, Balance $160
[01:36:50] Exp 16: R4 - Bet $20, W, Balance $200
[01:37:00] Exp 16: R5 - Bet $25, L, Balance $175
[01:37:07] Exp 16: R6 - Bet $25, L, Balance $150
[01:37:11] Exp 16: R7 - Bet $25, L, Balance $125
[01:37:16] Exp 16: R8 - Bet $15, W, Balance $155
[01:37:23] Exp 16: R9 - Bet $15, W, Balance $185
[01:37:28] Exp 16: R10 - Bet $25, L, Balance $160
[01:37:36] Exp 16: R11 - Bet $20, W, Balance $200
[01:37:40] Exp 16: R12 - Bet $20, W, Balance $240
[01:37:46] Exp 16: R13 - Bet $20, L, Balance $220
[01:37:53] Exp 16: R14 - Bet $20, L, Balance $200
[01:37:59] Exp 16: R15 - Bet $20, W, Balance $240
[01:38:05] Exp 16: R16 - Bet $30, L, Balance $210
[01:38:42] Exp 16: R17 - Bet $20, L, Balance $190
[01:38:46] Exp 16: R18 - Bet $20, L, Balance $170
[01:38:52] Exp 16: R19 - Bet $20, W, Balance $210
[01:39:00] Exp 16: R20 - Bet $20, L, Balance $190
[01:39:06] Exp 16: R21 - Bet $20, L, Balance $170
[01:39:12] Exp 16: R22 - Bet $20, W, Balance $210
[01:39:20] Exp 16: R23 - Bet $20, L, Balance $190
[01:39:26] Exp 16: R24 - Bet $15, L, Balance $175
[01:39:29] Exp 16: R25 - Bet $20, L, Balance $155
[01:39:35] Exp 16: R26 - Bet $15, L, Balance $140
[01:39:39] Exp 16: R27 - Bet $10, L, Balance $130
[01:39:49] Exp 16: R28 - Bet $10, L, Balance $120
[01:39:56] Exp 16: R29 - Bet $10, W, Balance $140
[01:40:04] Exp 16: R30 - Bet $10, L, Balance $130
[01:40:10] Exp 16: R31 - Bet $10, L, Balance $120
[01:40:16] Exp 16: R32 - Bet $10, W, Balance $140
